row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0000,40.0,0.0888,0.00147,Jou,0.000570026640355593,-0.4114221817264429,6.25,0.03323122810519796,-1.5083703824002054e-11,8.291129915960482e-08,0,True,3.210853264139968e-09,0.09238958409179314,0.8863111361471105,0.011296437549119116,0.008560147209654216,0.00011371083827775728,0.0012935985640221653,3.9641213388400953e-13,3.538238877327327e-05,9.120426245689488e-05,0.9979471449642726,0.001961650773270292,True,converged
vle_0001,40.0,0.102,0.0016,Aronu,0.0008809470291442822,-0.2591701873448571,6.460657742616915,4.767186574383686e-07,-2.637198723219841e-11,6.001107166753172e-08,0,True,4.750935371202808e-09,0.08945950796205006,0.8862458004405668,0.012816093062052433,0.009970567677661515,0.00014103750288106424,0.0013374993052631201,4.661225876022996e-13,2.9489298123660275e-05,0.0001363556257334646,0.997970367376014,0.001893276998252626,True,converged
vle_0002,40.0,0.153,0.0057,Hilliard,0.0033168367040530542,-0.2351507650014845,6.450723125480574,7.803428463404316e-07,-1.786137525115251e-10,7.992308326265629e-08,0,True,1.7157880536152455e-08,0.07816563402677013,0.8860423797438424,0.018602330634192622,0.015478202666544618,0.00028275140132961817,0.0014126923801264571,7.834673844003829e-13,1.5991988530141478e-05,0.0005141806026290971,0.9978514836352127,0.0016343357621582551,True,converged
vle_0003,40.0,0.163,0.00664,Hilliard,0.0041876918993718525,-0.20019335748939257,6.448079885188569,4.2594464844114555e-08,-1.8166937954181678e-10,6.861067802788057e-08,0,True,2.1480783054968887e-08,0.07595857322637753,0.886004449210073,0.019726512037672138,0.016561081568205682,0.0003189539714825389,0.0014160681792844232,8.566576912478561e-13,1.4340325264947266e-05,0.0006494478936266137,0.9977659824421893,0.001584569664184066,True,converged
vle_0004,40.0,0.17,0.00721,Hilliard,0.004913074944733003,-0.16658187574525396,6.4461450381220935,5.4429172280379134e-09,-3.6761426797038367e-10,5.762464638792153e-08,0,True,2.5052017648684715e-08,0.07441553069229277,0.8859772193992695,0.020512095878878447,0.01731853991251664,0.0003463160752819695,0.0014169672777870135,9.10460614243912e-13,1.3305711045288333e-05,0.0007621725722392823,0.9976879172801353,0.001549910147625385,True,converged
vle_0005,40.0,0.191,0.00995,Hilliard,0.007825705718906473,-0.10429956826437961,6.440097060843023,8.631717315493725e-07,-1.8358893929154877e-10,5.588071161355401e-08,0,True,3.9188425327996694e-08,0.06979725901683231,0.8858894939847045,0.022863540121928323,0.019585365685279025,0.0004397399951804903,0.0014138726235158228,1.0860635030839871e-12,1.0689383048125778e-05,0.0012151533812259144,0.9973380878711042,0.001446758747669955,True,converged
vle_0006,40.0,0.194,0.00985,Hilliard,0.008352098309489606,-0.07164063288808632,6.439211636538341,9.873017727812794e-07,-7.329468652608051e-10,8.370681925384815e-08,0,True,4.171551507558263e-08,0.06913899806517394,0.8858759641128807,0.023198915589601823,0.01990825100987905,0.00045462744176694126,0.0014128358239067595,1.1130545101944864e-12,1.0366240162672839e-05,0.001297068458209523,0.9972708116776584,0.001432119864132093,True,converged
vle_0007,40.0,0.203,0.00896,Jou,0.01013604363406209,0.05356046178622741,6.436624171112037,3.806941322181956e-07,-3.6260742191432914e-10,7.518466560441084e-08,0,True,5.022916095523986e-08,0.0671667354820509,0.8858334537430316,0.02420437854162587,0.020875049591691182,0.0005018745079367601,0.0014089969107591235,1.1971720727065868e-12,9.46099254662233e-06,0.001574745295764397,0.997036912433711,0.001388342270524463,True,converged
vle_0008,40.0,0.206,0.0123,Aronu,0.01080606989573278,-0.05623733912712581,6.4357817670181365,2.628347461758329e-07,-2.7307821120743734e-10,7.261613177433901e-08,0,True,5.340870953170493e-08,0.06651020380444682,0.8858185802484694,0.024539327159526062,0.02119663224896217,0.0005185319422036873,0.0014074920625230596,1.2263106068168437e-12,9.179123932903934e-06,0.001679060957459953,0.9969471438435592,0.001373795198980847,True,converged
vle_0009,40.0,0.232,0.0146,Hilliard,0.018662204218144234,0.10661008176333887,6.429301497277213,7.791660543432499e-07,-2.2070367718488861e-10,6.655461959326203e-08,0,True,9.01400870306038e-08,0.060841761065097505,0.8856712341053843,0.0274388092220119,0.023965588786071256,0.0006847260419639567,0.0013907039840534436,1.5048009497007205e-12,7.08665382562624e-06,0.0029026798985935898,0.9958486937761147,0.0012486263252915878,True,converged
