MEA_weight_fraction,temperature,CO2_loading,CO2,MEA,MEAH^+,MEA + MEAH^+,MEACOO^-,HCO3^-,CO3^2-,source
0.3,40,0.11,,0.0985,0.0065,0.105,0.0103,0.0001,0.0001,Jakobsen
0.3,40,0.125,,,,0.1009,0.0144,0.0,,Bottinger
0.3,40,0.205,,,,0.0934,0.0241,0.0,,Bottinger
0.3,40,0.21,,0.0715,0.016,0.0875,0.018,0.002,0.0027,Jakobsen
0.3,40,0.236,,,,0.0876,0.0271,0.0,,Bottinger
0.3,40,0.25,,0.0559,0.0218,0.0777,0.0261,0.0004,0.0004,Jakobsen
0.3,40,0.28,,,,0.084,0.0327,0.0,,Bottinger
0.3,40,0.29,,0.0563,0.0225,0.0788,0.0284,0.0003,0.0004,Jakobsen
0.3,40,0.343,,,,0.0758,0.0396,0.0,,Bottinger
0.3,40,0.354,,,,0.0749,0.041,0.0,,Bottinger
0.3,40,0.4,,0.0376,0.0473,0.0849,0.0495,0.0012,0.001,Jakobsen
0.3,40,0.46,,,,0.065,0.0492,0.0,,Bottinger
0.3,40,0.466,,,,0.0663,0.0502,0.004,,Bottinger
0.3,40,0.487,,,,0.0646,0.0511,0.0052,,Bottinger
0.3,40,0.508,,,,0.0647,0.0483,0.0091,,Bottinger
0.3,40,0.6,,0.0028,0.061,0.0638,0.0494,0.0151,0.0009,Jakobsen
0.3,40,0.663,,,,0.0759,0.0347,0.0428,,Bottinger
0.3,40,0.683,,,,0.0739,0.0323,0.0382,,Bottinger
0.3,40,0.762,,,,0.0807,0.0188,0.0596,,Bottinger
0.3,40,0.78,0.0009,0.0012,0.0743,0.0755,0.0388,0.0448,0.0009,Jakobsen
0.3,40,0.99,0.0032,0.0014,0.0843,0.0857,0.0312,0.0696,0.0011,Jakobsen
