temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,pred_CO2_pressure_kPa,log10_pred_over_obs,abs_log10_error
40,0.3,0.203,0.00896,0.003637062110254083,-0.3915572920799738,0.3915572920799738
40,0.3,0.365,0.0677,0.057963161881591736,-0.067436600542435,0.067436600542435
40,0.3,0.4735,0.604,1.336391010976281,0.3448966071413341,0.3448966071413341
40,0.3,0.513,2.57,9.208294697257687,0.5542460864373605,0.5542460864373605
40,0.3,0.557,8.09,50.43368393331962,0.7947721707879503,0.7947721707879503
60,0.3,0.119,0.0193,0.005422092270102651,-0.5513904051223149,0.5513904051223149
60,0.3,0.206,0.0579,0.028617935417462128,-0.3060402644625141,0.3060402644625141
60,0.3,0.389,0.528,0.6636141387914272,0.09928170788313448,0.09928170788313448
60,0.3,0.438,2.01,2.1148618977418954,0.022085955422077544,0.022085955422077544
60,0.3,0.504,11.0,18.65561020998608,0.22941677387370532,0.22941677387370532
60,0.3,0.561,34.0,113.61299866159939,0.5239491055655895,0.5239491055655895
60,0.3,0.579,82.0,177.1339947513174,0.33448806462863884,0.33448806462863884
80,0.3,0.118,0.0992,0.035524781828970696,-0.4459802527120277,0.4459802527120277
80,0.3,0.187,0.278,0.1357604156358799,-0.31127163699669497,0.31127163699669497
80,0.3,0.348,2.67,1.8468764667297548,-0.16007341390041102,0.16007341390041102
80,0.3,0.46,16.0,18.020605569482946,0.05164939838589385,0.05164939838589385
80,0.3,0.517,56.0,78.78540007268968,0.14825771769993362,0.14825771769993362
80,0.3,0.5785,235.0,326.0484027636654,0.14221421476790688,0.14221421476790688
100,0.3,0.188,1.43,0.8195548834780748,-0.24175799500265166,0.24175799500265166
100,0.3,0.381,19.0,17.04232424298104,-0.04722477712623043,0.04722477712623043
100,0.3,0.422,39.0,34.35811150411044,-0.05503532223643554,0.05503532223643554
100,0.3,0.477,69.0,95.54894768639133,0.14137681764477483,0.14137681764477483
100,0.3,0.481,109.0,103.03901612637301,-0.02442479478947417,0.02442479478947417
100,0.3,0.571,509.0,560.9962106262815,0.04224214539060774,0.04224214539060774
100,0.3,0.589,376.0,766.5464708324336,0.309350643570403,0.309350643570403
120,0.3,0.119,2.29,1.1826092284450893,-0.2869942186634905,0.2869942186634905
120,0.3,0.349,46.8,45.72716425142424,-0.01007158342632472,0.01007158342632472
120,0.3,0.4115,122.0,111.51098027358778,-0.039042197035499514,0.039042197035499514
120,0.3,0.444,222.0,181.0922501294446,-0.0884531094377123,0.0884531094377123
120,0.3,0.473,422.0,275.3223039574367,-0.1854710557932766,0.1854710557932766
120,0.3,0.536,822.0,702.2308375427074,-0.06839192052155489,0.06839192052155489
