source,species,CO2_loading,mole_fraction
model,CO2,0.11372,6.691715068246186e-11
model,CO2,0.1217,7.994952013003401e-11
model,CO2,0.12968,9.491348853897377e-11
model,CO2,0.13766,1.1176139122398232e-10
model,CO2,0.14564,1.3066741116813124e-10
model,CO2,0.15362,1.5181773837100818e-10
model,CO2,0.1616,1.7625715664070898e-10
model,CO2,0.16958,2.0384452204912432e-10
model,CO2,0.17756,2.3470259862548036e-10
model,CO2,0.18554,2.6915624519897716e-10
model,CO2,0.19352,3.075661768000285e-10
model,CO2,0.2015,3.521956205731838e-10
model,CO2,0.20948,4.0218389194116176e-10
model,CO2,0.21746,4.581241025628771e-10
model,CO2,0.22544,5.206636049870924e-10
model,CO2,0.23342,5.911533037444038e-10
model,CO2,0.2414,6.728666635927905e-10
model,CO2,0.24938,7.648569320372556e-10
model,CO2,0.25736,8.683995676969465e-10
model,CO2,0.26534,9.849001306926378e-10
model,CO2,0.27332,1.118531304329331e-09
model,CO2,0.2813,1.274047599889893e-09
model,CO2,0.28928,1.4510081009035963e-09
model,CO2,0.29726,1.6524794050892334e-09
model,CO2,0.30524,1.8818820956593544e-09
model,CO2,0.31322,2.152077791047733e-09
model,CO2,0.3212,2.4699097643539387e-09
model,CO2,0.32918,2.838152362924951e-09
model,CO2,0.33716,3.2654043441364294e-09
model,CO2,0.34514,3.761402706159636e-09
model,CO2,0.35312,4.369911865598468e-09
model,CO2,0.3611,5.100361028569974e-09
model,CO2,0.3690800000000001,5.97203504255978e-09
model,CO2,0.37706,7.015022026730367e-09
model,CO2,0.38504,8.265478402067752e-09
model,CO2,0.39302,9.901837912577926e-09
model,CO2,0.401,1.1941238786908761e-08
model,CO2,0.40898,1.4500300098674086e-08
model,CO2,0.41696,1.7725912918419297e-08
model,CO2,0.42494,2.1893541994955327e-08
model,CO2,0.4329200000000001,2.7787779313010943e-08
model,CO2,0.4409,3.5775712527397226e-08
model,CO2,0.44888,4.672485506874643e-08
model,CO2,0.45686,6.179309967457367e-08
model,CO2,0.46484,8.395227122600366e-08
model,CO2,0.4728200000000001,1.1935164541216698e-07
model,CO2,0.4808,1.731331895903471e-07
model,CO2,0.48878,2.539406293721277e-07
model,CO2,0.4967600000000001,3.7234422942194274e-07
model,CO2,0.5047400000000001,5.601693793250854e-07
model,CO2,0.5127200000000001,8.443755867767503e-07
model,CO2,0.5207,1.2365116420596229e-06
model,CO2,0.52868,1.7551029511823335e-06
model,CO2,0.53666,2.4182920806592054e-06
model,CO2,0.54464,3.300901286008079e-06
model,CO2,0.5526200000000001,4.392051873154115e-06
model,CO2,0.5606000000000001,5.698260139622167e-06
model,CO2,0.5685800000000001,7.237457172110461e-06
model,CO2,0.5765600000000001,9.030252389816937e-06
model,CO2,0.5845400000000001,1.1204431217211976e-05
model,CO2,0.59252,1.369482988916376e-05
model,CO2,0.6005,1.6525371506498445e-05
model,CO2,0.6084800000000001,1.972108842220058e-05
model,CO2,0.6164600000000001,2.334324718293641e-05
model,CO2,0.6244400000000001,2.7528189670282184e-05
model,CO2,0.6324200000000001,3.220028903113298e-05
model,CO2,0.6404000000000001,3.739534017596303e-05
model,CO2,0.6483800000000001,4.315093846032693e-05
model,CO2,0.65636,4.960977758205774e-05
model,CO2,0.66434,5.688949516196351e-05
model,CO2,0.67232,6.491705102279045e-05
model,CO2,0.6803000000000001,7.374791381482144e-05
model,CO2,0.6882800000000001,8.344052041430659e-05
model,CO2,0.6962600000000001,9.429352925464472e-05
model,CO2,0.7042400000000001,0.0001063490212785
model,CO2,0.7122200000000001,0.0001195642926008
model,CO2,0.7202000000000001,0.0001340284712555
model,CO2,0.72818,0.0001498357617864
model,CO2,0.7361600000000001,0.0001675836491692
model,CO2,0.7441400000000001,0.000187120795317
model,CO2,0.7521200000000001,0.0002084949447187
model,CO2,0.7601000000000001,0.0002318553907187
model,CO2,0.7680800000000001,0.0002573858673619
model,CO2,0.7760600000000001,0.0002861920023883
model,CO2,0.7840400000000001,0.0003177553124458
model,CO2,0.7920200000000001,0.0003523199345558
model,CO2,0.8,0.0003901475144974
reference,CO2,0.78,0.0009
model,MEA,0.11372,0.0867720939750148
model,MEA,0.1217,0.0849863290578881
model,MEA,0.12968,0.0832008193238803
model,MEA,0.13766,0.0814155478146034
model,MEA,0.14564,0.0796305274467604
model,MEA,0.15362,0.0778457717673306
model,MEA,0.1616,0.0760613848738277
model,MEA,0.16958,0.0742773320627883
model,MEA,0.17756,0.0724936125400464
model,MEA,0.18554,0.0707102464881979
model,MEA,0.19352,0.0689272562406792
model,MEA,0.2015,0.0671448245696241
model,MEA,0.20948,0.0653628477191611
model,MEA,0.21746,0.0635813569566693
model,MEA,0.22544,0.061800385593242
model,MEA,0.23342,0.060020015423396
model,MEA,0.2414,0.0582404454110099
model,MEA,0.24938,0.0564615681573077
model,MEA,0.25736,0.0546834385237163
model,MEA,0.26534,0.052906115419978
model,MEA,0.27332,0.0511298090687205
model,MEA,0.2813,0.0493547214299686
model,MEA,0.28928,0.0475807617143842
model,MEA,0.29726,0.0458080350728754
model,MEA,0.30524,0.0440366555549417
model,MEA,0.31322,0.0422671324896858
model,MEA,0.3212,0.0404996275784223
model,MEA,0.32918,0.0387341333521904
model,MEA,0.33716,0.0369708768356242
model,MEA,0.34514,0.035210107373778
model,MEA,0.35312,0.0334531180571842
model,MEA,0.3611,0.0316998940917472
model,MEA,0.3690800000000001,0.0299507474170733
model,MEA,0.37706,0.028206256720613
model,MEA,0.38504,0.0264671018524785
model,MEA,0.39302,0.0247369272787466
model,MEA,0.401,0.0230151828039338
model,MEA,0.40898,0.0213034516345452
model,MEA,0.41696,0.0196035973045805
model,MEA,0.42494,0.0179192177507444
model,MEA,0.4329200000000001,0.0162595460123389
model,MEA,0.4409,0.0146257910250589
model,MEA,0.44888,0.0130244600701354
model,MEA,0.45686,0.0114633361035806
model,MEA,0.46484,0.0099624429764491
model,MEA,0.4728200000000001,0.008551224549632
model,MEA,0.4808,0.0072381736974458
model,MEA,0.48878,0.0060420517486996
model,MEA,0.4967600000000001,0.0049804322275006
model,MEA,0.5047400000000001,0.0041034084632604
model,MEA,0.5127200000000001,0.0033957909275244
model,MEA,0.5207,0.0028200846287255
model,MEA,0.52868,0.0023587839344209
model,MEA,0.53666,0.0019928193451362
