target_family,source_or_model,temperature_C,species_or_property,metric,threshold,actual_value,passes,claim_allowed,failure_reason,recommended_manuscript_use,target_role
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,195.35080537114317,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3915572920799738,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.4930862004723812,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,40,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.7947721707879503,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,81.87866844132252,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.3060402644625141,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.347865667015495,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,60,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.5513904051223149,false,false,pressure residual gate failed,diagnostic only; do not cite as validated pressure reproduction,
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,39.707273877347895,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.1541655658001723,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.2470778587607183,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,80,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.4459802527120277,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,31.84627722963191,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.0550353222364355,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.16114420742591673,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,100,CO2_pressure,max_abs_log10_error,reported; no independent pass threshold,0.309350643570403,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,AAD_percent,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,21.167122799676296,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,median_abs_log10_error,pass if AAD_percent <= 50 OR median_abs_log10_error <= 0.25,0.07842251497963354,true,true,,retained baseline pressure comparison,
pressure,legacy_pcsaft_smith_missen,120,CO2_pressure,RMSE_log10,reported; no independent pass threshold,0.14770033366428056,true,true,,retained baseline pressure comparison,
