temperature_C,species,record_count,median_abs_log10_error,median_log10_model_over_data,mae_log10,rmse_log10
20.0,CO2,4,0.40404211090594044,0.40404211090594044,0.4485870307643793,0.5171185067294017
20.0,CO3^2-,8,0.35923926730161015,-0.06919964566222894,0.5053332712450702,0.6499082808928879
20.0,HCO3-,32,0.4348895942229869,-0.4172754634501026,0.5176343970691082,0.660375174747123
20.0,MEA,27,0.049362282346975046,-0.043211649350720575,0.09814573012790617,0.1836966741708681
20.0,MEA + MEAH+,39,0.007384037981810267,-0.0010796358533586817,0.016432025585404582,0.024872756718238447
20.0,MEACOO-,39,0.025595932485540582,0.018796415489321303,0.0413730263521405,0.07211635014766818
20.0,MEAH+,27,0.04130042455100311,0.04130042455100311,0.05737727078208918,0.07089578665494124
40.0,CO2,2,0.7001412722278157,0.7001412722278157,0.7001412722278157,0.7002755854357436
40.0,CO3^2-,8,0.6070223694017841,-0.6070223694017841,0.6508687503828832,0.760842562665618
40.0,HCO3-,14,0.07981605894734839,0.03317004667397602,0.1450070049486088,0.23962942361412784
40.0,MEA,8,0.13129501412554936,-0.13129501412554936,0.2228580097123591,0.34195495749327176
40.0,MEA + MEAH+,21,0.010002387853740769,-0.005637784186340199,0.018737427509045917,0.026913917970502545
40.0,MEACOO-,21,0.03206472396107435,-0.020239170436300143,0.059578065991999433,0.08622947629278224
40.0,MEAH+,8,0.08085761639250733,0.08085761639250733,0.11147428919793247,0.14138613765070718
