temperature_C,MEA_weight_fraction,CO2_loading,species,mole_fraction,curve_role,solver_success,solver_max_abs_residual
20.0,0.3,0.0,CO2,1.5907533464687595e-16,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,MEA,0.11167458196296998,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,MEAH+,0.0005650145972112889,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,MEACOO-,4.732913201992843e-08,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,HCO3-,2.9910500164179477e-10,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,CO3^2-,6.461140670866775e-08,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,H3O+,3.077009569905931e-15,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,OH-,0.0005648377461639269,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.0,MEA + MEAH+,0.11223959656018126,explicit_ideal_equilibrium_curve,true,1.4210854715202004e-14
20.0,0.3,0.005,CO2,2.142439190208672e-12,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,MEA,0.11082749356381509,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,MEAH+,0.0010853199287069917,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,MEACOO-,0.0003268303965507542,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,HCO3-,2.0813415006116756e-06,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,CO3^2-,0.00023228647925155948,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,H3O+,5.955973051875872e-15,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
20.0,0.3,0.005,OH-,0.0002918352321584635,explicit_ideal_equilibrium_curve,true,3.552713678800501e-15
