phase,model_family,observable_family,source,species_or_property,target_role,state_count,target_count,solver_success_count,median_abs_log10,rmse_log10,max_abs_log10,max_model_mole_fraction_for_reported_zero,metric
phase2,phase2_epcsaft_reactive_bubble,pressure,Aronu,CO2_pressure,measured_pressure,36,36,36,0.43065220155127804,0.7266681925266885,1.485251924337782,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Hilliard,CO2_pressure,measured_pressure,30,30,30,0.6207943040461497,0.757073745714082,1.2323507131419311,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Idris,CO2_pressure,measured_pressure,10,10,10,0.513820162319242,0.565249938653701,1.019946777697471,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Jou,CO2_pressure,measured_pressure,48,48,48,0.5576051998041693,0.6937244177213874,1.3291105110083237,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Mamun,CO2_pressure,measured_pressure,19,19,19,0.28757956880717606,0.3868254460106741,0.7096546125866423,,log10_model_over_data
phase2,phase2_epcsaft_reactive_bubble,pressure,Xu,CO2_pressure,measured_pressure,18,18,18,0.27404277777765756,0.30536589075429216,0.5078142656085656,,log10_model_over_data
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,all_speciation_states,state_record,39,39,39,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO2,direct_positive,2,2,2,0.26329334608768584,0.26670193433048506,0.30579670691447747,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO2,balance_inferred,37,37,37,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEA,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEAH+,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEACOO-,direct_positive,39,39,39,0.02233619348087625,0.07061488370668983,0.2279219112931415,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,direct_positive,19,19,19,0.11773865598336797,0.26123459910394403,0.6017098388329017,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,direct_zero,14,14,14,,,,0.0012758415912313855,max_model_mole_fraction_for_reported_zero
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,HCO3-,balance_inferred,6,6,6,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,CO3^2-,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,H3O+,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,OH-,balance_inferred,39,39,39,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Bottinger,MEA + MEAH+,aggregate_direct_positive,39,39,39,0.11423622159515129,0.13223136240665237,0.24326960662545605,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,all_speciation_states,state_record,16,16,16,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO2,direct_positive,4,4,4,0.058709470270198086,0.11060342755365923,0.19682115874905487,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO2,balance_inferred,12,12,12,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEA,direct_positive,16,16,16,0.12514746199447438,0.46434350251732387,1.0577278972993478,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEAH+,direct_positive,16,16,16,0.056593529219009925,0.12262452801628385,0.28902071563734477,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEACOO-,direct_positive,16,16,16,0.05723975690330771,0.0959714122519564,0.21845920585495893,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,HCO3-,direct_positive,15,15,15,0.4301160136237833,0.5654227115664945,1.5128280371051535,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,HCO3-,balance_inferred,1,1,1,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,CO3^2-,direct_positive,16,16,16,0.5993178959189063,0.7766998114464276,1.4790528787746402,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,H3O+,balance_inferred,16,16,16,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,OH-,balance_inferred,16,16,16,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Jakobsen,MEA + MEAH+,aggregate_direct_positive,16,16,16,0.01859364550870382,0.03730107991758619,0.10138388902493659,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,all_speciation_states,state_record,19,19,19,,,,,state_accounting
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,CO2,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEA,direct_positive,19,19,19,0.04951809246373387,0.24631455152581785,0.6992775068757839,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEAH+,direct_positive,19,19,19,0.030791872654572207,0.03058807540911992,0.034958518589700685,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEACOO-,direct_positive,19,19,19,0.0514763032736022,0.059872681474769686,0.09185895367690251,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,HCO3-,direct_positive,19,19,19,1.673104349800576,1.6582935568091721,2.4214526248248553,,log10_model_over_target
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,CO3^2-,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,H3O+,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,OH-,balance_inferred,19,19,19,,,,,context_count_only
phase2,phase2_epcsaft_activity_speciation,speciation,Matin,MEA + MEAH+,aggregate_direct_positive,19,19,19,0.018691707390203913,0.01958474359241362,0.028267973630391536,,log10_model_over_target
