role,temperature_C,species,CO2_loading,mole_fraction
curve,60.0,CO2,0.001,1.8021701869346046e-12
curve,60.0,CO2,0.00599375,1.7588670386412404e-11
curve,60.0,CO2,0.0109875,4.6516599349515377e-11
curve,60.0,CO2,0.01598125,8.964441417942844e-11
curve,60.0,CO2,0.020975,1.4758703377468948e-10
curve,60.0,CO2,0.02596875,2.2102760937254782e-10
curve,60.0,CO2,0.0309625,3.1079307083652273e-10
curve,60.0,CO2,0.03595625,4.1785648456997015e-10
curve,60.0,CO2,0.04095,5.433171004179091e-10
curve,60.0,CO2,0.04594375,6.88407949542e-10
curve,60.0,CO2,0.0509375,8.54494478819903e-10
curve,60.0,CO2,0.05593125,1.0430719027421986e-09
curve,60.0,CO2,0.060925,1.2557553289263174e-09
curve,60.0,CO2,0.06591875,1.494341441957367e-09
curve,60.0,CO2,0.0709125,1.760745922663003e-09
curve,60.0,CO2,0.07590625,2.057067448667562e-09
curve,60.0,CO2,0.0809,2.38557908847304e-09
curve,60.0,CO2,0.08589375,2.7487261545049244e-09
curve,60.0,CO2,0.0908875,3.1491907195759263e-09
curve,60.0,CO2,0.09588125,3.589837376409453e-09
curve,60.0,CO2,0.1008749999999999,4.073874998444747e-09
curve,60.0,CO2,0.10586875,4.604649271444261e-09
curve,60.0,CO2,0.1108625,5.185850869260034e-09
curve,60.0,CO2,0.11585625,5.821519658700931e-09
curve,60.0,CO2,0.12085,6.516048237256783e-09
curve,60.0,CO2,0.12584375,7.274115624323169e-09
curve,60.0,CO2,0.1308375,8.100912495991254e-09
curve,60.0,CO2,0.13583125,9.002054121869773e-09
curve,60.0,CO2,0.140825,9.98373907019831e-09
curve,60.0,CO2,0.14581875,1.105245475827266e-08
curve,60.0,CO2,0.1508125,1.2215688057839851e-08
curve,60.0,CO2,0.15580625,1.3481356384722149e-08
curve,60.0,CO2,0.1608,1.4857996885668218e-08
curve,60.0,CO2,0.16579375,1.6355411637678655e-08
curve,60.0,CO2,0.1707875,1.7983704465350583e-08
curve,60.0,CO2,0.17578125,1.9754427052374466e-08
curve,60.0,CO2,0.180775,2.168025089709627e-08
curve,60.0,CO2,0.18576875,2.37749009954308e-08
curve,60.0,CO2,0.1907625,2.6053428301213872e-08
curve,60.0,CO2,0.19575625,2.853247346555541e-08
curve,60.0,CO2,0.2007499999999999,3.123051840983551e-08
curve,60.0,CO2,0.20574375,3.416775993981563e-08
curve,60.0,CO2,0.2107375,3.736655617710816e-08
curve,60.0,CO2,0.2157312499999999,4.0851760052583855e-08
curve,60.0,CO2,0.220725,4.4650761075904496e-08
curve,60.0,CO2,0.22571875,4.8793666802767885e-08
curve,60.0,CO2,0.2307125,5.331456401959004e-08
curve,60.0,CO2,0.23570625,5.82507402814676e-08
curve,60.0,CO2,0.2407,6.364439938085586e-08
curve,60.0,CO2,0.24569375,6.954178642241396e-08
curve,60.0,CO2,0.2506875,7.599459414897338e-08
curve,60.0,CO2,0.2556812499999999,8.306181285828956e-08
curve,60.0,CO2,0.260675,9.08080157371895e-08
curve,60.0,CO2,0.26566875,9.930726906625506e-08
curve,60.0,CO2,0.2706625,1.0864111131083117e-07
curve,60.0,CO2,0.27565625,1.1890326940595749e-07
curve,60.0,CO2,0.28065,1.30197854855546e-07
curve,60.0,CO2,0.28564375,1.4264406951814477e-07
curve,60.0,CO2,0.2906375,1.56376885121605e-07
curve,60.0,CO2,0.29563125,1.7154675893791925e-07
curve,60.0,CO2,0.300625,1.883315562891246e-07
curve,60.0,CO2,0.30561875,2.0692874524758722e-07
curve,60.0,CO2,0.3106125,2.2756379424362635e-07
curve,60.0,CO2,0.31560625,2.505027228531597e-07
curve,60.0,CO2,0.3206,2.7604411304736377e-07
curve,60.0,CO2,0.32559375,3.0453427188791226e-07
curve,60.0,CO2,0.3305875,3.36376403870676e-07
curve,60.0,CO2,0.33558125,3.720384875798206e-07
curve,60.0,CO2,0.340575,4.1206463928996404e-07
curve,60.0,CO2,0.34556875,4.570915473580698e-07
curve,60.0,CO2,0.3505625,5.078651641803275e-07
curve,60.0,CO2,0.35555625,5.652712007032929e-07
curve,60.0,CO2,0.36055,6.303436091357354e-07
curve,60.0,CO2,0.36554375,7.043312598704e-07
curve,60.0,CO2,0.3705375,7.886972598372817e-07
curve,60.0,CO2,0.37553125,8.852200743509603e-07
curve,60.0,CO2,0.380525,9.96032800553956e-07
curve,60.0,CO2,0.38551875,1.123701164947334e-06
curve,60.0,CO2,0.3905125,1.271374315198632e-06
curve,60.0,CO2,0.39550625,1.4429000323457712e-06
curve,60.0,CO2,0.4004999999999999,1.642984165191438e-06
curve,60.0,CO2,0.40549375,1.8774777497942351e-06
curve,60.0,CO2,0.4104875,2.153677041871915e-06
curve,60.0,CO2,0.4154812499999999,2.4806931599839394e-06
curve,60.0,CO2,0.420475,2.8700446894915365e-06
curve,60.0,CO2,0.42546875,3.336318780232696e-06
curve,60.0,CO2,0.4304624999999999,3.898184987416982e-06
curve,60.0,CO2,0.43545625,4.57958236300265e-06
curve,60.0,CO2,0.44045,5.411496331098516e-06
curve,60.0,CO2,0.4454437499999999,6.4341080211869725e-06
curve,60.0,CO2,0.4504375,7.699801615853077e-06
curve,60.0,CO2,0.45543125,9.276883072115885e-06
curve,60.0,CO2,0.460425,1.1254729259514576e-05
curve,60.0,CO2,0.46541875,1.3749435248285248e-05
curve,60.0,CO2,0.4704125,1.6911127745925506e-05
curve,60.0,CO2,0.47540625,2.093143031398726e-05
curve,60.0,CO2,0.4804,2.605066878905915e-05
curve,60.0,CO2,0.48539375,3.2563378264503304e-05
curve,60.0,CO2,0.4903875,4.0818715481197625e-05
curve,60.0,CO2,0.49538125,5.1217027743325975e-05
curve,60.0,CO2,0.500375,6.419656287710196e-05
curve,60.0,CO2,0.50536875,8.02175909466596e-05
curve,60.0,CO2,0.5103624999999999,9.974126092888224e-05
curve,60.0,CO2,0.51535625,0.0001232103314583
curve,60.0,CO2,0.52035,0.0001510350308014
curve,60.0,CO2,0.52534375,0.0001835822160264
curve,60.0,CO2,0.5303375,0.000221172830351
curve,60.0,CO2,0.53533125,0.0002640792907712
curve,60.0,CO2,0.5403249999999999,0.0003125326242972
curve,60.0,CO2,0.54531875,0.0003667265722359
curve,60.0,CO2,0.5503125,0.0004268193147819
curve,60.0,CO2,0.55530625,0.0004929391734068
curve,60.0,CO2,0.5603,0.0005651884559203
curve,60.0,CO2,0.56529375,0.0006436474768128
curve,60.0,CO2,0.5702875,0.0007283795052821
curve,60.0,CO2,0.57528125,0.0008194216947287
curve,60.0,CO2,0.580275,0.0009168152536069
curve,60.0,CO2,0.58526875,0.0010205566542789
curve,60.0,CO2,0.5902625,0.0011306582096568
curve,60.0,CO2,0.59525625,0.0012471048952391
curve,60.0,CO2,0.60025,0.001369885137211
curve,60.0,CO2,0.60524375,0.0014989487470311
curve,60.0,CO2,0.6102375,0.0016342752676664
curve,60.0,CO2,0.61523125,0.0017758141236125
curve,60.0,CO2,0.620225,0.0019235113978517
curve,60.0,CO2,0.62521875,0.0020773076539529
curve,60.0,CO2,0.6302125,0.0022371253268024
curve,60.0,CO2,0.63520625,0.0024029143115239
curve,60.0,CO2,0.6402,0.0025745748572372
curve,60.0,CO2,0.64519375,0.002752063367784
curve,60.0,CO2,0.6501875,0.0029352653467019
curve,60.0,CO2,0.6551812499999999,0.0031240926577914
curve,60.0,CO2,0.660175,0.0033184872937236
curve,60.0,CO2,0.66516875,0.0035183170801479
curve,60.0,CO2,0.6701625,0.0037235310597102
curve,60.0,CO2,0.67515625,0.0039340022750868
curve,60.0,CO2,0.68015,0.0041496625596183
curve,60.0,CO2,0.6851437499999999,0.0043704038137568
curve,60.0,CO2,0.6901375,0.0045961072038481
curve,60.0,CO2,0.69513125,0.0048267231164769
curve,60.0,CO2,0.700125,0.0050621118043338
curve,60.0,CO2,0.70511875,0.0053022059089675
curve,60.0,CO2,0.7101125,0.0055468847639571
curve,60.0,CO2,0.7151062499999999,0.0057960515071149
curve,60.0,CO2,0.7201,0.0060496555906295
curve,60.0,CO2,0.72509375,0.0063075476594949
curve,60.0,CO2,0.7300875,0.006569634877011
curve,60.0,CO2,0.73508125,0.0068359002056642
curve,60.0,CO2,0.740075,0.0071061459062626
curve,60.0,CO2,0.74506875,0.0073803520367937
curve,60.0,CO2,0.7500625,0.0076584266730111
curve,60.0,CO2,0.75505625,0.0079402391462287
curve,60.0,CO2,0.76005,0.0082257543089095
curve,60.0,CO2,0.76504375,0.0085148516363559
curve,60.0,CO2,0.7700375,0.0088074728579891
curve,60.0,CO2,0.77503125,0.0091035115318866
curve,60.0,CO2,0.780025,0.0094028959794622
curve,60.0,CO2,0.78501875,0.0097055668083605
curve,60.0,CO2,0.7900125,0.0100114009160786
curve,60.0,CO2,0.79500625,0.0103203401492563
curve,60.0,CO2,0.8,0.0106323772430049
curve,60.0,MEA,0.001,0.1115350552555801
curve,60.0,MEA,0.00599375,0.1105930208899524
curve,60.0,MEA,0.0109875,0.1095635017712138
curve,60.0,MEA,0.01598125,0.1084949360275747
curve,60.0,MEA,0.020975,0.1074076738874029
curve,60.0,MEA,0.02596875,0.1063103821512776
curve,60.0,MEA,0.0309625,0.1052071618758538
curve,60.0,MEA,0.03595625,0.1041001698786829
curve,60.0,MEA,0.04095,0.102990634748673
curve,60.0,MEA,0.04594375,0.1018793112421947
curve,60.0,MEA,0.0509375,0.1007666842468231
curve,60.0,MEA,0.05593125,0.0996530823418801
curve,60.0,MEA,0.060925,0.0985387359463253
curve,60.0,MEA,0.06591875,0.0974238116552203
curve,60.0,MEA,0.0709125,0.0963084344495811
