scope,model,group_type,group_value,attempted_count,accepted_count,failure_count,coverage_fraction,mean_log10_residual,median_log10_residual,median_abs_log10_error,rmse_log10_error,q90_abs_log10_error,max_abs_log10_error
full_context,activity_model,overall,all,161,161,0,1.0,-0.2808173261855231,-0.2875795688101837,0.4928898383419168,0.6451985175355217,1.0947035504067428,1.4852519243331819
full_context,activity_model,source,Aronu2011,36,36,0,1.0,-0.5527066794983376,-0.4306522015665256,0.4306522015665256,0.7266681992899191,1.1684377493818308,1.4852519243331819
full_context,activity_model,source,Hilliard2008,30,30,0,1.0,-0.3930233509475737,-0.5690518514656762,0.6207943040952805,0.7570737657115777,1.1390340887452448,1.232350713116625
full_context,activity_model,source,Idris2014,10,10,0,1.0,-0.5205979934176235,-0.5138201623024671,0.5138201623024671,0.5652499386227838,0.6917174942672305,1.0199467776546873
full_context,activity_model,source,Jou1995,48,48,0,1.0,-0.06602317757820524,0.17756370367057223,0.5576051998040928,0.6937244177523912,1.0525503898980952,1.329110511015443
full_context,activity_model,source,Mamun2005,19,19,0,1.0,-0.3266875512612723,-0.2875795688101837,0.2875795688101837,0.38682544601060237,0.5870736359439067,0.7096546125878501
full_context,activity_model,source,Xu2011,18,18,0,1.0,0.058817078132911566,0.08044986424827948,0.27404277777710273,0.3053658907535679,0.4214130963722902,0.5078142656021474
full_context,activity_model,temperature_C,100.0,18,18,0,1.0,-0.002409544390903391,0.07808525481849161,0.4175754155344747,0.5082641727303734,0.7946170607465766,1.041084305392477
full_context,activity_model,temperature_C,120.0,39,39,0,1.0,-0.1556508440687554,-0.193634759106014,0.2875795688101837,0.3842951992051355,0.611899415154932,0.7678926433719208
full_context,activity_model,temperature_C,40.0,59,59,0,1.0,-0.34868122812632596,-0.4106463800880871,0.5497454220205634,0.6901588933803647,1.1080079018911062,1.329110511015443
full_context,activity_model,temperature_C,60.0,24,24,0,1.0,-0.3224377164409555,-0.372549749767222,0.680624858629662,0.7618698794959493,1.1342823557862745,1.323267761744644
full_context,activity_model,temperature_C,80.0,21,21,0,1.0,-0.5136731973388253,-0.6672379611210326,0.6672379611210326,0.8331841416607794,1.1893808895685436,1.4852519243331819
full_context,ideal_baseline,overall,all,31,31,0,1.0,0.014761631269364145,-0.0244247947894741,0.160073413900411,0.2973915086392612,0.5239491055655895,0.7947721707879503
full_context,ideal_baseline,source,Jou1995,31,31,0,1.0,0.014761631269364145,-0.0244247947894741,0.160073413900411,0.2973915086392612,0.5239491055655895,0.7947721707879503
full_context,ideal_baseline,temperature_C,100,7,7,0,1.0,0.0177895310644277,-0.0244247947894741,0.0550353222364355,0.16114420742591673,0.26879505442975216,0.309350643570403
full_context,ideal_baseline,temperature_C,120,6,6,0,1.0,-0.1130706808129764,-0.07842251497963354,0.07842251497963354,0.14770033366428056,0.23623263722838356,0.2869942186634905
full_context,ideal_baseline,temperature_C,40,5,5,0,1.0,0.2469841943488472,0.3448966071413341,0.3915572920799738,0.4930862004723812,0.6985617370477144,0.7947721707879503
full_context,ideal_baseline,temperature_C,60,7,7,0,1.0,0.05025584825547379,0.0992817078831344,0.3060402644625141,0.347865667015495,0.5349256253882796,0.5513904051223149
