temperature_C,CO2_loading,effective_CO2_loading,solver_returned,solver_success,rejection_reason,message,charge_residual,max_abs_reaction_residual,state_failure_count
20.0,0.02,0.02,False,False,solver_returned_unsuccessful;message_not_converged;reaction_residual_exceeds_tolerance,chemical equilibrium did not converge,-1.2055515006409445e-15,1.0546939108735387e-06,0
20.0,0.02484375,0.02484375,True,True,,converged,-3.4558944247975454e-17,5.238563716147837e-08,0
20.0,0.0296875,0.0296875,True,True,,converged,-4.3380929816254354e-12,9.157346170240999e-08,0
20.0,0.03453125,0.03453125,True,True,,converged,-1.1002241598247892e-12,9.215803942197454e-08,0
20.0,0.039375,0.039375,True,True,,converged,-4.397252852637867e-12,7.836566240371212e-08,0
20.0,0.04421875,0.04421875,True,True,,converged,-6.544252078720565e-12,8.27596728925073e-08,0
20.0,0.049062499999999995,0.049062499999999995,True,True,,converged,-7.17532645441981e-12,8.070061952025753e-08,0
20.0,0.05390625,0.05390625,True,True,,converged,-2.6522295644426652e-17,3.600613140974929e-08,0
20.0,0.05875,0.05875,True,True,,converged,-8.300076283825758e-12,9.701371084247512e-08,0
20.0,0.06359375,0.06359375,True,True,,converged,-2.881682278866801e-12,6.345094405446616e-08,0
20.0,0.0684375,0.0684375,True,True,,converged,-9.262417872621387e-12,8.98851588715388e-08,0
20.0,0.07328125,0.07328125,True,True,,converged,-9.690217581798631e-12,5.390684520989453e-08,0
20.0,0.078125,0.078125,True,True,,converged,-1.0086543010328838e-11,6.308147604272563e-08,0
20.0,0.08296875000000001,0.08296875000000001,True,True,,converged,-1.0451919806530284e-11,5.056946861259348e-08,0
20.0,0.0878125,0.0878125,True,True,,converged,-1.0791202512735326e-11,8.36928002456716e-08,0
20.0,0.09265625000000001,0.09265625000000001,True,True,,converged,-2.2205011057142583e-11,9.651711962987974e-08,0
20.0,0.0975,0.0975,True,True,,converged,-2.278148613629521e-11,7.761978793041635e-08,0
20.0,0.10234375,0.10234375,True,True,,converged,-2.3315133318728334e-11,9.285083635290903e-08,0
20.0,0.1071875,0.1071875,True,True,,converged,-2.3805303573916445e-11,9.078635798687174e-08,0
20.0,0.11203125,0.11203125,True,True,,converged,-2.4257807459786285e-11,8.027111420005895e-08,0
20.0,0.116875,0.116875,True,True,,converged,-2.4675374401096975e-11,7.365547105564474e-08,0
20.0,0.12171875,0.12171875,True,True,,converged,-2.5058954633290064e-11,8.475828394693963e-08,0
20.0,0.1265625,0.1265625,True,True,,converged,-1.2704977369638881e-11,5.051316165349817e-08,0
20.0,0.13140625,0.13140625,True,True,,converged,-2.573095289083987e-11,6.979078648328141e-08,0
20.0,0.13624999999999998,0.13624999999999998,True,True,,converged,-7.32861460997188e-12,8.630823700173096e-08,0
20.0,0.14109375,0.14109375,True,True,,converged,-2.629880192198293e-11,7.390741174617688e-08,0
20.0,0.1459375,0.1459375,True,True,,converged,-2.654588277778533e-11,7.686370295800771e-08,0
20.0,0.15078124999999998,0.15078124999999998,True,True,,converged,-2.67689963281254e-11,7.477710184389252e-08,0
20.0,0.15562499999999999,0.15562499999999999,True,True,,converged,-2.6973606389522594e-11,7.665140344670363e-08,0
20.0,0.16046875,0.16046875,True,True,,converged,-2.7160808090874412e-11,8.628875036720274e-08,0
20.0,0.1653125,0.1653125,True,True,,converged,-1.1706891061619889e-11,5.457241059048101e-08,0
20.0,0.17015624999999998,0.17015624999999998,True,True,,converged,-2.7478925524040488e-11,7.756788633628275e-08,0
20.0,0.175,0.175,True,True,,converged,-2.7613886488699188e-11,7.50426281115324e-08,0
20.0,0.17984375,0.17984375,True,True,,converged,-2.7737352098180157e-11,7.793278200551867e-08,0
20.0,0.18468749999999998,0.18468749999999998,True,True,,converged,-2.7843991371058864e-11,7.744272778609229e-08,0
20.0,0.18953124999999998,0.18953124999999998,True,True,,converged,-2.794054665910227e-11,7.370081078761359e-08,0
20.0,0.194375,0.194375,True,True,,converged,-2.8024077826247157e-11,7.76782833611378e-08,0
20.0,0.19921875,0.19921875,True,True,,converged,-4.9812313562130894e-17,8.353760705404056e-08,0
20.0,0.20406249999999998,0.20406249999999998,True,True,,converged,-2.698371193304047e-11,7.867574680631151e-08,0
20.0,0.20890625,0.20890625,True,True,,converged,-2.8216694497422423e-11,7.372490529178322e-08,0
20.0,0.21375,0.21375,True,True,,converged,-6.5394331659821e-17,4.039647905074162e-08,0
20.0,0.21859374999999998,0.21859374999999998,True,True,,converged,-2.8301714924671437e-11,8.532586903697847e-08,0
20.0,0.22343749999999998,0.22343749999999998,True,True,,converged,-6.931962011577663e-12,5.1635485220913324e-08,0
20.0,0.22828125,0.22828125,True,True,,converged,-2.8355325322110595e-11,7.61740253096832e-08,0
20.0,0.233125,0.233125,True,True,,converged,-2.837400584940978e-11,7.659969725182236e-08,0
20.0,0.23796874999999998,0.23796874999999998,True,True,,converged,-2.838584827972578e-11,7.478438135422039e-08,0
20.0,0.2428125,0.2428125,True,True,,converged,-2.839304321136085e-11,7.816295166662712e-08,0
20.0,0.24765625,0.24765625,True,True,,converged,-2.839377106169023e-11,7.540855406773517e-08,0
20.0,0.2525,0.2525,True,True,,converged,-2.8392325982824632e-11,7.483426145427075e-08,0
20.0,0.25734375,0.25734375,True,True,,converged,-2.8385077093496754e-11,7.392490175561761e-08,0
20.0,0.2621875,0.2621875,True,True,,converged,-2.8374651261410533e-11,7.354500297651612e-08,0
20.0,0.26703125,0.26703125,True,True,,converged,-2.8363083913514483e-11,7.987481254190243e-08,0
20.0,0.27187500000000003,0.27187500000000003,True,True,,converged,-2.3294253082440514e-16,3.522748670548026e-08,0
20.0,0.27671875,0.27671875,True,True,,converged,-2.832733073073791e-11,7.36407805845829e-08,0
20.0,0.2815625,0.2815625,True,True,,converged,-2.8306837456369845e-11,7.514916333661859e-08,0
20.0,0.28640625000000003,0.28640625000000003,True,True,,converged,-2.8282493596481584e-11,7.364624821093457e-08,0
20.0,0.29125,0.29125,True,True,,converged,-2.825778084442743e-11,7.456957362705907e-08,0
20.0,0.29609375,0.29609375,True,True,,converged,-2.823245254251908e-11,7.51923643349528e-08,0
20.0,0.3009375,0.3009375,True,True,,converged,-1.3035026334210745e-11,4.992471858145109e-08,0
20.0,0.30578125,0.30578125,True,True,,converged,-2.8174959579830802e-11,7.4627134694083e-08,0
20.0,0.31062500000000004,0.31062500000000004,True,True,,converged,-2.8145395365256087e-11,7.358613274277559e-08,0
20.0,0.31546875,0.31546875,True,True,,converged,-2.8115252819454876e-11,7.298683257772609e-08,0
20.0,0.3203125,0.3203125,True,True,,converged,-2.8084664415839022e-11,7.348723585209882e-08,0
20.0,0.32515625000000004,0.32515625000000004,True,True,,converged,-2.8053847912179702e-11,7.520901945667902e-08,0
20.0,0.33,0.33,True,True,,converged,-2.8024460854545906e-11,7.358883635788516e-08,0
20.0,0.33484375,0.33484375,True,True,,converged,-2.7993551834559955e-11,7.316412364843927e-08,0
20.0,0.33968750000000003,0.33968750000000003,True,True,,converged,-2.7966215596157392e-11,7.394720569209312e-08,0
20.0,0.34453125,0.34453125,True,True,,converged,-2.7938088450904725e-11,7.726785966610805e-08,0
20.0,0.349375,0.349375,True,True,,converged,-2.7910751330740863e-11,7.411800950762881e-08,0
20.0,0.35421875,0.35421875,True,True,,converged,-2.788497899891497e-11,7.162302750884919e-08,0
20.0,0.3590625,0.3590625,True,True,,converged,-1.1144836517393346e-10,9.181872684393966e-08,0
20.0,0.36390625000000004,0.36390625000000004,True,True,,converged,-2.7840816233751247e-11,7.304478444325468e-08,0
20.0,0.36875,0.36875,True,True,,converged,-2.255673361235407e-11,9.200924822039269e-08,0
20.0,0.37359375,0.37359375,True,True,,converged,-2.7805046980218566e-11,7.229334286762423e-08,0
20.0,0.37843750000000004,0.37843750000000004,True,True,,converged,-2.7793739725647432e-11,7.364086940242487e-08,0
20.0,0.38328125,0.38328125,True,True,,converged,-2.778567581825309e-11,7.484313613304039e-08,0
20.0,0.388125,0.388125,True,True,,converged,-2.7781524880355512e-11,7.294218207221093e-08,0
20.0,0.39296875000000003,0.39296875000000003,True,True,,converged,-2.7939046886472235e-12,6.077392811221216e-08,0
20.0,0.3978125,0.3978125,True,True,,converged,-2.7790174702462325e-11,7.464181805971748e-08,0
20.0,0.40265625,0.40265625,True,True,,converged,-2.780635331911081e-11,7.321398598492124e-08,0
20.0,0.40750000000000003,0.40750000000000003,True,True,,converged,-2.782822976122405e-11,7.2686788143983e-08,0
20.0,0.41234375,0.41234375,True,True,,converged,-2.7860337585246183e-11,7.090193321346305e-08,0
20.0,0.4171875,0.4171875,True,True,,converged,-2.7903471123005036e-11,7.014790881498811e-08,0
20.0,0.42203125,0.42203125,True,True,,converged,-2.7961429120545642e-11,7.088949871558725e-08,0
20.0,0.426875,0.426875,True,True,,converged,-2.8036976006051912e-11,7.097984422443915e-08,0
20.0,0.43171875000000004,0.43171875000000004,True,True,,converged,-2.8129359501611302e-11,7.134591584190275e-08,0
20.0,0.4365625,0.4365625,True,True,,converged,-2.824748453850192e-11,7.371910371034573e-08,0
20.0,0.44140625,0.44140625,True,True,,converged,-2.8391821843108107e-11,6.987994183305091e-08,0
20.0,0.44625000000000004,0.44625000000000004,True,True,,converged,-2.857487770421838e-11,7.300031157342346e-08,0
20.0,0.45109375,0.45109375,True,True,,converged,-2.880130380496231e-11,7.013213831896792e-08,0
20.0,0.4559375,0.4559375,True,True,,converged,-2.908450943244832e-11,6.86284025164241e-08,0
20.0,0.46078125000000003,0.46078125000000003,True,True,,converged,-2.943921937175022e-11,7.104356214426844e-08,0
20.0,0.465625,0.465625,True,True,,converged,-2.988386847080193e-11,6.935141527719679e-08,0
20.0,0.47046875,0.47046875,True,True,,converged,-3.044436378350193e-11,7.060823037363662e-08,0
20.0,0.4753125,0.4753125,True,True,,converged,-3.114438969317914e-11,7.190276463120426e-08,0
20.0,0.48015625,0.48015625,True,True,,converged,-3.2004569374803846e-11,7.085717257382385e-08,0
20.0,0.485,0.485,True,True,,converged,-3.3017876630945087e-11,7.030359228110683e-08,0
20.0,0.48984375,0.48984375,True,True,,converged,-2.6115284895849167e-11,8.135638296380421e-08,0
20.0,0.4946875,0.4946875,True,True,,converged,-4.0270127812976095e-11,8.100902704200053e-08,0
20.0,0.49953125000000004,0.49953125000000004,True,True,,converged,-4.660099166290175e-11,9.139045076267394e-08,0
20.0,0.504375,0.504375,True,True,,converged,-7.186540908074478e-12,6.44155733198204e-08,0
20.0,0.5092187499999999,0.5092187499999999,True,True,,converged,-4.5082593976683794e-11,9.273375667362416e-08,0
20.0,0.5140625,0.5140625,True,True,,converged,-4.2546706869710384e-11,9.218034335845005e-08,0
20.0,0.51890625,0.51890625,True,True,,converged,-3.9977373023325876e-11,9.240966747370294e-08,0
20.0,0.52375,0.52375,True,True,,converged,-2.636507567005586e-11,9.361450636902191e-08,0
20.0,0.52859375,0.52859375,True,True,,converged,-2.665196698053061e-11,6.933180429768981e-08,0
20.0,0.5334375,0.5334375,True,True,,converged,-2.5398495676033985e-11,6.873602842460969e-08,0
20.0,0.53828125,0.53828125,True,True,,converged,-2.432164832074548e-11,8.858772204689558e-08,0
20.0,0.543125,0.543125,True,True,,converged,-2.338658442300166e-11,7.174118010766506e-08,0
20.0,0.54796875,0.54796875,True,True,,converged,-3.239231331954102e-11,9.676553958115619e-08,0
20.0,0.5528125,0.5528125,True,True,,converged,-2.918999747836387e-11,8.954807384498054e-08,0
20.0,0.55765625,0.55765625,True,True,,converged,-3.042004748233022e-11,9.6281887351779e-08,0
20.0,0.5625,0.5625,True,True,,converged,-1.9326319896987393e-11,9.18142788464138e-08,0
20.0,0.56734375,0.56734375,True,True,,converged,-7.634614214531507e-12,5.490997168067224e-08,0
20.0,0.5721875,0.5721875,True,True,,converged,-1.964495791922005e-11,6.540771479990326e-08,0
20.0,0.57703125,0.57703125,True,True,,converged,-7.410770869676598e-14,9.535496658941156e-08,0
20.0,0.581875,0.581875,True,True,,converged,-1.0210725383228986e-12,9.016795488037133e-08,0
20.0,0.5867187500000001,0.5867187500000001,True,True,,converged,-6.461351380335326e-12,5.145470183265388e-08,0
20.0,0.5915625,0.5915625,True,True,,converged,-3.0724097442322946e-12,7.296467430251141e-08,0
20.0,0.59640625,0.59640625,True,True,,converged,-1.9715001143641374e-12,6.919892570067532e-08,0
20.0,0.6012500000000001,0.6012500000000001,True,True,,converged,-7.868452244487815e-12,3.207671284144453e-08,0
20.0,0.60609375,0.60609375,True,True,,converged,-1.9671888162831175e-11,7.268471691190825e-08,0
20.0,0.6109375,0.6109375,True,True,,converged,-2.437867454571599e-11,9.039851178727076e-08,0
20.0,0.6157812500000001,0.6157812500000001,True,True,,converged,-2.556530620520796e-11,9.769057029984651e-08,0
20.0,0.620625,0.620625,True,True,,converged,-1.0023987789736307e-11,9.632973885231877e-08,0
20.0,0.62546875,0.62546875,True,True,,converged,-1.789322909695115e-11,7.062814333380629e-08,0
20.0,0.6303125,0.6303125,True,True,,converged,-1.1819658626808013e-11,8.574942356176507e-08,0
20.0,0.63515625,0.63515625,True,True,,converged,-1.0222492482786454e-11,7.723160777572957e-08,0
20.0,0.64,0.64,True,True,,converged,-1.378546688168139e-11,9.19772382701467e-08,0
20.0,0.64484375,0.64484375,True,True,,converged,-4.912814836013061e-12,5.2242004500158146e-08,0
20.0,0.6496875,0.6496875,True,True,,converged,-1.8927887102005362e-11,7.59812870398946e-08,0
20.0,0.65453125,0.65453125,True,True,,converged,-1.926749380977166e-11,7.921303080138387e-08,0
20.0,0.659375,0.659375,True,True,,converged,-1.9650714618441032e-11,7.865067175316653e-08,0
20.0,0.66421875,0.66421875,True,True,,converged,-2.0076611018758736e-11,8.199594603297555e-08,0
20.0,0.6690625,0.6690625,True,True,,converged,-2.054517299729814e-11,9.649815524426231e-08,0
20.0,0.67390625,0.67390625,True,True,,converged,-2.1055996363822692e-11,9.077899676412926e-08,0
20.0,0.67875,0.67875,True,True,,converged,-1.6206129936247345e-11,6.247895711908313e-08,0
20.0,0.68359375,0.68359375,True,True,,converged,-1.1100714397230668e-11,3.900237288689823e-08,0
20.0,0.6884375,0.6884375,True,True,,converged,-2.283505996174932e-11,8.890366842706499e-08,0
