row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,species,target_role,validation_use,reconciled_mole_fraction
cheq_0000,Bottinger,20.0,0.3,0.075,CO2,balance_inferred,context_only,0.0013497353570532872
cheq_0000,Bottinger,20.0,0.3,0.075,MEA,balance_inferred,context_only,0.14852414575618061
cheq_0000,Bottinger,20.0,0.3,0.075,MEAH+,balance_inferred,context_only,0.007108385188704443
cheq_0000,Bottinger,20.0,0.3,0.075,MEACOO-,direct_positive,log_residual_target,0.008558219077847738
cheq_0000,Bottinger,20.0,0.3,0.075,HCO3-,balance_inferred,context_only,0.0024072801195538164
cheq_0000,Bottinger,20.0,0.3,0.075,CO3^2-,balance_inferred,context_only,1.000000028893599e-12
cheq_0000,Bottinger,20.0,0.3,0.075,H3O+,balance_inferred,context_only,0.0038571140106971116
cheq_0000,Bottinger,20.0,0.3,0.075,OH-,balance_inferred,context_only,1e-12
cheq_0000,Bottinger,20.0,0.3,0.075,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.15563253094488505
cheq_0001,Matin,20.0,0.3,0.106,CO2,balance_inferred,context_only,0.00046593644367666514
cheq_0001,Matin,20.0,0.3,0.106,MEA,direct_positive,log_residual_target,0.0945878840245385
cheq_0001,Matin,20.0,0.3,0.106,MEAH+,direct_positive,log_residual_target,0.011548774026001098
cheq_0001,Matin,20.0,0.3,0.106,MEACOO-,direct_positive,log_residual_target,0.009407036766965863
cheq_0001,Matin,20.0,0.3,0.106,HCO3-,direct_positive,log_residual_target,0.0023799287815134008
cheq_0001,Matin,20.0,0.3,0.106,CO3^2-,balance_inferred,context_only,1.0349482089040186e-12
cheq_0001,Matin,20.0,0.3,0.106,H3O+,balance_inferred,context_only,0.00023819152454806168
cheq_0001,Matin,20.0,0.3,0.106,OH-,balance_inferred,context_only,1e-12
cheq_0001,Matin,20.0,0.3,0.106,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.1061366580505396
cheq_0002,Jakobsen,20.0,0.3,0.11,CO2,balance_inferred,context_only,0.0025078904260246175
cheq_0002,Jakobsen,20.0,0.3,0.11,MEA,direct_positive,log_residual_target,0.10164700583465086
cheq_0002,Jakobsen,20.0,0.3,0.11,MEAH+,direct_positive,log_residual_target,0.008097766617566568
cheq_0002,Jakobsen,20.0,0.3,0.11,MEACOO-,direct_positive,log_residual_target,0.010630416286859101
cheq_0002,Jakobsen,20.0,0.3,0.11,HCO3-,direct_zero,absolute_upper_bound,1.211598788673816e-06
cheq_0002,Jakobsen,20.0,0.3,0.11,CO3^2-,direct_positive,log_residual_target,0.00010120692981795064
cheq_0002,Jakobsen,20.0,0.3,0.11,H3O+,balance_inferred,context_only,0.0027362751277171075
cheq_0002,Jakobsen,20.0,0.3,0.11,OH-,balance_inferred,context_only,1e-12
cheq_0002,Jakobsen,20.0,0.3,0.11,MEA + MEAH+,aggregate_direct_positive,log_residual_target,0.10974477245221743
cheq_0003,Matin,20.0,0.3,0.128,CO2,balance_inferred,context_only,0.0005800357391936413
cheq_0003,Matin,20.0,0.3,0.128,MEA,direct_positive,log_residual_target,0.08945165592133604
