row_id,source,temperature_C,MEA_weight_fraction,CO2_loading,observed_CO2_pressure_kPa,model_CO2_pressure_kPa,model_total_pressure_kPa,log10_model_over_data,fugacity_residual_norm,charge_residual,max_abs_reaction_residual,state_failure_count,solver_success,message
vle_0000,Jou,40.0,0.3,0.0888,0.00147,6.889803308159712e-05,6.3328125,-1.3291105110118402,0.009684331087193243,-6.988227189844501e-12,5.5627502604238543e-08,24,True,converged
vle_0001,Aronu,40.0,0.3,0.102,0.0016,0.00010015076910212932,6.38682611468847,-1.203465693873776,7.442745069141665e-07,-6.159245436268036e-12,5.2498233316100595e-08,0,True,converged
vle_0002,Hilliard,40.0,0.3,0.153,0.0057,0.00033382906234494285,6.356500470015522,-1.2323507130637743,9.976235772063413e-07,-1.6066765094667978e-10,9.218537577737607e-08,0,True,converged
vle_0003,Hilliard,40.0,0.3,0.163,0.00664,0.00041303746439551694,6.35051980837938,-1.2061786334203082,3.9750149838369e-08,-1.6350014712683048e-10,9.164595837773959e-08,0,True,converged
vle_0004,Hilliard,40.0,0.3,0.17,0.00721,0.00047808061285675393,6.346314878839971,-1.1784341321929515,1.1649396125523737e-07,-1.6409440172231345e-10,9.22978280470943e-08,0,True,converged
vle_0005,Hilliard,40.0,0.3,0.191,0.00995,0.0007335214107288866,6.333607931987621,-1.1324102857761036,6.119843845020512e-07,-1.6118692289410176e-10,8.884900992711664e-08,0,True,converged
vle_0006,Hilliard,40.0,0.3,0.194,0.00985,0.0007789846943094185,6.331782773300212,-1.101907305870315,3.9530067752480136e-07,-1.6033457838958247e-10,8.536048312635103e-08,0,True,converged
vle_0007,Jou,40.0,0.3,0.203,0.00896,0.0009319395156880637,6.326285360883474,-0.9829202827752191,9.291351332763043e-08,-1.5727089908462342e-10,8.79688286659075e-08,0,True,converged
vle_0008,Aronu,40.0,0.3,0.206,0.0123,0.0009890119995588176,6.324445589560965,-1.094703550569655,7.551430947216886e-08,-1.0724758550891575e-10,7.237804311444052e-08,0,True,converged
vle_0009,Hilliard,40.0,0.3,0.232,0.0146,0.001648861955961919,6.308353715531531,-0.947168558098398,5.485707399444095e-08,-7.788388302309415e-11,6.075914882330835e-08,0,True,converged
vle_0010,Idris,40.0,0.3,0.242,0.021,0.0020057302160678804,6.302101735995231,-1.0199467775911202,9.3036176131156e-07,-6.970273181338901e-12,7.404326751725421e-08,0,True,converged
vle_0011,Hilliard,40.0,0.3,0.246,0.0191,0.0021694255120166903,6.299586022383974,-0.9446886241793544,3.9532962547994543e-07,-1.2645295050398649e-11,5.3622098761252346e-08,0,True,converged
vle_0012,Aronu,40.0,0.3,0.25,0.0246,0.002346710112915042,6.2970713130115,-1.0204756622159015,7.583324954651971e-07,-1.1452029732164442e-11,9.059325023486053e-08,0,True,converged
vle_0013,Hilliard,40.0,0.3,0.269,0.0231,0.003415831484320829,6.285061206357457,-0.8301155427097212,9.966946290518308e-07,-7.303732248887401e-12,8.637191584170978e-08,0,True,converged
vle_0014,Hilliard,40.0,0.3,0.272,0.0224,0.0036262003657612173,6.283166968778409,-0.7907962209628883,5.708291017647582e-07,-3.778788233554508e-12,5.2899387981142354e-08,0,True,converged
vle_0015,Idris,40.0,0.3,0.321,0.038,0.009966808499110918,6.2530524297599195,-0.5812274827502089,1.7276687858114315e-07,-7.270193209387918e-12,9.16429740982494e-08,0,True,converged
vle_0016,Hilliard,40.0,0.3,0.326,0.0485,0.011108286162096826,6.250225756956687,-0.6400946794596948,1.0974821629261555e-07,-3.7504415373619125e-12,5.7855803703432684e-08,0,True,converged
vle_0017,Idris,40.0,0.3,0.33,0.043,0.012126152721251428,6.248028117104271,-0.5497454219808949,5.165614811453167e-07,-3.844321868676351e-12,6.747681169372299e-08,0,True,converged
vle_0018,Aronu,40.0,0.3,0.337,0.0603,0.014168160116695947,6.244369852856929,-0.6290038558973918,9.207898976626439e-08,-4.0134305693451556e-12,7.56544800140091e-08,0,True,converged
vle_0019,Idris,40.0,0.3,0.345,0.05,0.016989522738931184,6.240540468649655,-0.4687888252762655,2.5837275430262707e-08,-4.1729824907670065e-12,8.68217426841511e-08,0,True,converged
vle_0020,Hilliard,40.0,0.3,0.348,0.0662,0.018207290791693177,6.239220535922277,-0.5606126609842125,8.155535695664184e-07,-4.186836460008344e-12,8.782009075503083e-08,0,True,converged
vle_0021,Hilliard,40.0,0.3,0.35,0.0721,0.01907410735314447,6.238395719741553,-0.5774910421121598,5.480191820339542e-07,-4.196295413302637e-12,8.770151538328719e-08,0,True,converged
vle_0022,Idris,40.0,0.3,0.352,0.064,0.019988314710558376,6.237595752228219,-0.5054037953114506,1.6214062625863335e-07,-4.206362001351753e-12,9.318590699081142e-08,0,True,converged
vle_0023,Aronu,40.0,0.3,0.353,0.0851,0.02046400074512049,6.237216422050279,-0.6189390171367903,3.991607062658886e-07,-4.211386092998614e-12,8.991478139819264e-08,0,True,converged
vle_0024,Idris,40.0,0.3,0.355,0.097,0.021454784679391967,6.236474321029124,-0.6552475739629774,9.68447682048179e-07,-4.216119895443022e-12,9.2075023161442e-08,0,True,converged
vle_0025,Hilliard,40.0,0.3,0.36,0.0966,0.024181497819394177,6.234858495424019,-0.6014939285445323,9.270285978857373e-07,-4.215042045594124e-12,8.972967791009978e-08,0,True,converged
vle_0026,Jou,40.0,0.3,0.365,0.0677,0.027313916621255697,6.233572729360971,-0.3942046893421908,8.633292161164263e-07,-4.216130459214424e-12,8.898137338064771e-08,0,True,converged
vle_0027,Idris,40.0,0.3,0.375,0.107,0.03510189314013286,6.23232018670139,-0.484053237910509,4.0638198051112795e-07,-4.22577934270648e-12,8.253370253896719e-08,0,True,converged
vle_0028,Idris,40.0,0.3,0.377,0.123,0.03695460648655337,6.23233666589175,-0.522236529412269,3.0853934671060124e-08,-4.229074938687108e-12,8.822658159601815e-08,0,True,converged
vle_0029,Hilliard,40.0,0.3,0.382,0.131,0.0421096330801467,6.232847542405838,-0.49288983841887213,3.30647840426912e-07,-4.239135515978672e-12,8.672310158885921e-08,0,True,converged
vle_0030,Hilliard,40.0,0.3,0.386,0.12,0.04684925019707341,6.233819971471193,-0.4084786014722664,4.062248568775795e-07,-4.249450956166702e-12,8.599579359724885e-08,0,True,converged
vle_0031,Hilliard,40.0,0.3,0.389,0.113,0.05082000408146611,6.2349326823264475,-0.3470437478899244,6.427051069124445e-08,-4.258523420820899e-12,8.604086687569179e-08,0,True,converged
vle_0032,Hilliard,40.0,0.3,0.4,0.128,0.0692425668184656,6.242652941851411,-0.2668368108715276,5.599392824962024e-07,-4.303575017678481e-12,9.57542987123361e-08,0,True,converged
vle_0033,Aronu,40.0,0.3,0.401,0.1835,0.07128361048765726,6.243709446595592,-0.4106463801524971,4.151708528077336e-07,-4.309464213297009e-12,8.454965438886575e-08,0,True,converged
vle_0034,Aronu,40.0,0.3,0.417,0.2928,0.11632919091977267,6.2724851977164215,-0.40088236484066425,8.789285033117267e-08,-4.4393802880501036e-12,8.139462082112914e-08,0,True,converged
vle_0035,Aronu,40.0,0.3,0.421,0.3188,0.13257805804808523,6.28453774151545,-0.3810466593729104,7.111117725361327e-07,-4.483624715024995e-12,8.12992553278491e-08,0,True,converged
vle_0036,Aronu,40.0,0.3,0.433,0.3809,0.20108969111914132,6.340184536965947,-0.2774211656386885,2.3659753090043978e-07,-4.6529615951466035e-12,8.135488016591808e-08,0,True,converged
vle_0037,Idris,40.0,0.3,0.436,0.445,0.2246031313122313,6.360409419705782,-0.29694420428192403,2.930231666198324e-07,-4.704983295472309e-12,7.951788560944806e-08,0,True,converged
vle_0038,Aronu,40.0,0.3,0.447,0.5702,0.3458195957997399,6.46937010526882,-0.21717761412642125,6.111168146527568e-08,-4.9350804679263414e-12,7.868841578329011e-08,0,True,converged
vle_0039,Idris,40.0,0.3,0.46,0.813,0.6133444781659839,6.722080607798779,-0.12238608584438834,4.300077662833246e-07,-5.289387847143819e-12,7.793231660002675e-08,0,True,converged
vle_0040,Aronu,40.0,0.3,0.464,1.0662,0.7434915668194324,6.84763119302731,-0.15656263136265539,6.69179573975498e-08,-3.003793258624896e-12,5.3394664689676574e-08,0,True,converged
vle_0041,Hilliard,40.0,0.3,0.464,0.75,0.743491571045138,6.84763119302731,-0.003785214097055984,6.595351731419896e-08,-3.0037904377934233e-12,5.3427896773428074e-08,0,True,converged
vle_0042,Hilliard,40.0,0.3,0.466,0.574,0.8211291686506367,6.922965789322608,0.15549958727902616,9.987225930985222e-07,-3.2124972826190467e-12,6.01441705327943e-08,0,True,converged
vle_0043,Jou,40.0,0.3,0.4735,0.604,1.2147468375239874,7.308021542057787,0.30344883847166526,1.2547537941998144e-07,-3.409452834273904e-12,7.443416194519159e-08,0,True,converged
vle_0044,Aronu,40.0,0.3,0.476,1.8326,1.3935363512752845,7.483979115417531,-0.11894938018623309,6.074735043881674e-07,-3.472254700102365e-12,6.09447248223205e-08,0,True,converged
vle_0045,Aronu,40.0,0.3,0.477,1.8278,1.473590272756785,7.56291419745268,-0.09355192692803889,4.17574483435601e-07,-3.4960979148144045e-12,6.228819415809994e-08,0,True,converged
vle_0046,Hilliard,40.0,0.3,0.481,0.883,1.851971452720814,7.936837628484708,0.3216735843723548,8.08215439462856e-07,-3.5788266470437164e-12,6.174644084921965e-08,0,True,converged
vle_0047,Aronu,40.0,0.3,0.485,2.3193,2.3451167997612496,8.425593752410453,0.004807549861969497,6.115949524598818e-08,-3.628822122348617e-12,5.970622396489489e-08,0,True,converged
vle_0048,Aronu,40.0,0.3,0.489,2.8577,2.9880898541914016,9.06426403447557,0.019377018095618644,4.034468101821176e-07,-3.6191446064430262e-12,6.065466706672851e-08,0,True,converged
vle_0049,Hilliard,40.0,0.3,0.491,1.1,3.378857720530053,9.45291740433135,0.48737721940458406,1.3833966777676565e-07,-3.5858671497494268e-12,6.080585635004354e-08,0,True,converged
vle_0050,Hilliard,40.0,0.3,0.501,1.87,6.280219396395121,12.34395819061481,0.5261332093311756,1.2434440344044617e-07,-1.356573564491148e-13,8.697042019889523e-08,0,True,converged
vle_0051,Jou,40.0,0.3,0.513,2.57,12.79361898825968,18.845319235476165,0.6970602893500524,2.9982625715518907e-07,-2.5831543192513436e-12,5.308595873998456e-08,0,True,converged
vle_0052,Aronu,40.0,0.3,0.516,8.5583,15.103030856035135,21.15177601796081,0.2466766036360031,9.273344083737811e-07,-5.013297656562566e-12,9.921910404386836e-08,0,True,converged
vle_0053,Hilliard,40.0,0.3,0.518,3.03,16.815552596864087,22.862336716186157,0.7442685152759406,2.732008095307492e-07,-4.91768986796488e-12,9.512035603620461e-08,0,True,converged
vle_0054,Aronu,40.0,0.3,0.524,11.812,22.837592428165983,28.87864950631017,0.28632687974511134,2.510703884794907e-07,-4.6607157166385146e-12,8.934954820460916e-08,0,True,converged
