target_family,species_or_property,target_role,metric,row_count,solver_success_count,median_abs_log10_error,max_abs_log10_error,rmse_log10_error,max_model_mole_fraction
speciation,CO2,direct_positive,median_abs_log10_error,6,74,0.1478253189094724,0.30579670673846376,0.17850872749361463,
speciation,MEA,direct_positive,median_abs_log10_error,35,74,0.0739184925960023,1.0577278973025719,0.36263261650615586,
speciation,MEAH+,direct_positive,median_abs_log10_error,35,74,0.03259738948711929,0.2890205983506824,0.08591779032283874,
speciation,MEACOO-,direct_positive,median_abs_log10_error,74,74,0.040349620608731374,0.22792191129422446,0.07443029059230792,
speciation,HCO3-,direct_positive,median_abs_log10_error,53,74,0.4608052958529319,2.421452624832195,1.0491774459118106,
speciation,HCO3-,direct_zero,max_model_mole_fraction_for_reported_zero,14,74,,,,0.0012758415912313662
speciation,CO3^2-,direct_positive,median_abs_log10_error,16,74,0.5993178959179818,1.4790528787707762,0.7766997549621063,
speciation,H3O+,direct_positive,median_abs_log10_error,0,74,,,,
speciation,OH-,direct_positive,median_abs_log10_error,0,74,,,,
speciation,MEA + MEAH+,direct_positive,median_abs_log10_error,74,74,0.06586348315768477,0.2432696065561048,0.09805333569336823,
