parameter,initial,fitted,delta,lower_bound,upper_bound,at_bound,source_status
MEAH+__s,3.48508556586174,3.48508556586174,0.0,2.0,5.8,False,attempted_only
MEAH+__e,232.6872016451942,232.6872016451942,0.0,50.0,950.0,False,attempted_only
MEAH+__d_born,3.533229271464668,3.533229271464668,0.0,1.0,7.0,False,attempted_only
MEACOO-__s,3.535435257213276,3.535435257213276,0.0,2.0,5.8,False,attempted_only
MEACOO-__e,453.26524438401077,453.26524438401077,0.0,50.0,1000.0,False,attempted_only
MEACOO-__d_born,3.5410703082156436,3.5410703082156436,0.0,1.0,7.0,False,attempted_only
k_ij__CO2__MEA,0.0,0.0,0.0,-2.0,2.0,False,attempted_only
k_ij__MEA__H2O,-0.052,-0.052,0.0,-2.0,2.0,False,attempted_only
k_ij__MEAH+__MEACOO-,-0.002018134576435147,-0.002018134576435147,0.0,-2.0,2.0,False,attempted_only
k_ij__MEAH+__HCO3-,0.0,0.0,0.0,-2.0,2.0,False,attempted_only
