row_id,source,temperature_C,CO2_loading,log10_model_over_data
vle_0000,Jou,40.0,0.0888,-0.4408952021766937
vle_0001,Aronu,40.0,0.102,-0.2968071677405468
vle_0002,Hilliard,40.0,0.153,-0.282908142847332
vle_0003,Hilliard,40.0,0.163,-0.2499197193906566
vle_0004,Hilliard,40.0,0.17,-0.21768559081866
vle_0005,Hilliard,40.0,0.191,-0.159548859470916
vle_0006,Hilliard,40.0,0.194,-0.1274823790592323
vle_0007,Jou,40.0,0.203,-0.0040552812132978
vle_0008,Aronu,40.0,0.206,-0.11444563741016
vle_0009,Hilliard,40.0,0.232,0.0433170720178706
vle_0010,Idris,40.0,0.242,-0.026465111699488
vle_0011,Hilliard,40.0,0.246,0.0498360903949537
vle_0012,Aronu,40.0,0.25,-0.025004153010422
vle_0013,Hilliard,40.0,0.269,0.1685001384265441
vle_0014,Hilliard,40.0,0.272,0.2080908567637414
vle_0015,Idris,40.0,0.321,0.4112239481264315
vle_0016,Hilliard,40.0,0.326,0.3502373007730501
vle_0017,Idris,40.0,0.33,0.4386433061103746
vle_0018,Aronu,40.0,0.337,0.3553968704900564
vle_0019,Idris,40.0,0.345,0.5100462325148644
vle_0020,Hilliard,40.0,0.348,0.4158274726147018
vle_0021,Hilliard,40.0,0.35,0.3972550877538187
vle_0022,Idris,40.0,0.352,0.4675608953877234
vle_0023,Aronu,40.0,0.353,0.3531054963125157
vle_0024,Idris,40.0,0.355,0.3148871643964572
vle_0025,Hilliard,40.0,0.36,0.3634582456973496
vle_0026,Jou,40.0,0.365,0.5649442191150456
vle_0027,Idris,40.0,0.375,0.4613544343109347
vle_0028,Idris,40.0,0.377,0.420037256960828
vle_0029,Hilliard,40.0,0.382,0.4409367782408354
vle_0030,Hilliard,40.0,0.386,0.5178969006141636
vle_0031,Hilliard,40.0,0.389,0.5733027659542447
vle_0032,Hilliard,40.0,0.4,0.627732621297137
vle_0033,Aronu,40.0,0.401,0.4812601094439941
vle_0034,Aronu,40.0,0.417,0.4394757360393554
vle_0035,Aronu,40.0,0.421,0.4433293113984193
vle_0036,Aronu,40.0,0.433,0.4894746190944429
vle_0037,Idris,40.0,0.436,0.4529910709791116
vle_0038,Aronu,40.0,0.447,0.4596978845636236
vle_0039,Idris,40.0,0.46,0.4411485038044616
vle_0040,Aronu,40.0,0.464,0.3650168984529774
vle_0041,Hilliard,40.0,0.464,0.5177943064577226
vle_0042,Hilliard,40.0,0.466,0.6547143750706739
vle_0043,Jou,40.0,0.4735,0.7101781789290713
vle_0044,Aronu,40.0,0.476,0.2538772758817698
vle_0045,Aronu,40.0,0.477,0.2652828977056093
vle_0046,Hilliard,40.0,0.481,0.6221749303662221
vle_0047,Aronu,40.0,0.485,0.2434449845452818
vle_0048,Aronu,40.0,0.489,0.193149891878723
vle_0049,Hilliard,40.0,0.491,0.6278326676790034
vle_0050,Hilliard,40.0,0.501,0.4962770871478404
vle_0051,Jou,40.0,0.513,0.4732734840993366
vle_0052,Aronu,40.0,0.516,-0.0210961894313166
vle_0053,Hilliard,40.0,0.518,0.4484134163773188
vle_0054,Aronu,40.0,0.524,-0.0875792797286007
vle_0055,Jou,40.0,0.557,0.3560760801790363
vle_0056,Hilliard,40.0,0.591,0.0605824874472547
vle_0057,Jou,40.0,0.609,0.0719905005366724
vle_0058,Jou,40.0,0.642,-0.1898972862531293
vle_0059,Aronu,60.0,0.053,-0.6303390525736762
vle_0060,Jou,60.0,0.0564,-0.5448368410568695
vle_0061,Aronu,60.0,0.105,-0.3958833802442232
vle_0062,Hilliard,60.0,0.114,-0.3905759841672634
vle_0063,Jou,60.0,0.119,-0.3317113205027986
vle_0064,Aronu,60.0,0.162,-0.2329011604710306
vle_0065,Hilliard,60.0,0.191,-0.1020169955180961
vle_0066,Jou,60.0,0.206,0.0399319058023239
vle_0067,Aronu,60.0,0.244,0.0037842285894792
vle_0068,Hilliard,60.0,0.291,0.2148026871562953
vle_0069,Aronu,60.0,0.303,0.1584623694159119
vle_0070,Aronu,60.0,0.36,0.3278228025246912
vle_0071,Hilliard,60.0,0.386,0.4897709632937198
vle_0072,Jou,60.0,0.389,0.677257547319363
vle_0073,Aronu,60.0,0.393,0.3965967688986319
vle_0074,Aronu,60.0,0.428,0.3664122656900989
vle_0075,Jou,60.0,0.438,0.5560083994540429
vle_0076,Hilliard,60.0,0.485,0.6106850182126594
vle_0077,Aronu,60.0,0.491,0.218999602798063
vle_0078,Jou,60.0,0.504,0.4239099267447037
vle_0079,Hilliard,60.0,0.544,0.377092381684785
vle_0080,Jou,60.0,0.561,0.3806086109191032
vle_0081,Jou,60.0,0.579,0.1197613627616207
vle_0082,Jou,60.0,0.668,0.06739996081339
vle_0083,Aronu,80.0,0.017,-0.9774957143734262
vle_0084,Jou,80.0,0.0174,-0.6811673164771961
vle_0085,Jou,80.0,0.0236,-0.634151687209773
vle_0086,Aronu,80.0,0.04,-0.80946629323541
vle_0087,Aronu,80.0,0.075,-0.5722914350177511
vle_0088,Jou,80.0,0.0781,-0.4486827452575588
vle_0089,Jou,80.0,0.118,-0.2784294858448771
vle_0090,Aronu,80.0,0.122,-0.385851691878015
vle_0091,Aronu,80.0,0.155,-0.2952168581741564
vle_0092,Jou,80.0,0.187,-0.0460981858378709
vle_0093,Aronu,80.0,0.216,-0.1352528753909772
vle_0094,Aronu,80.0,0.271,0.0180281031971269
vle_0095,Aronu,80.0,0.347,0.1776470971964267
vle_0096,Jou,80.0,0.348,0.3339120459882168
vle_0097,Aronu,80.0,0.398,0.271517148872341
vle_0098,Aronu,80.0,0.4,0.30842329945749
vle_0099,Jou,80.0,0.46,0.5236750487625617
vle_0100,Jou,80.0,0.517,0.432756107340554
vle_0101,Jou,80.0,0.5785,0.2083628072528949
vle_0102,Jou,80.0,0.64,0.1368767258518799
vle_0103,Jou,80.0,0.689,0.0924529099121032
vle_0104,Jou,100.0,0.0117,-0.6725544087026013
vle_0105,Jou,100.0,0.0566,-0.533739640727458
vle_0106,Jou,100.0,0.188,-0.0350387875133425
vle_0107,Xu,100.0,0.315,-0.0331757691959923
vle_0108,Xu,100.0,0.315,0.0917640912728278
vle_0109,Jou,100.0,0.381,0.4259816308806021
vle_0110,Xu,100.0,0.388,0.2298702505142381
vle_0111,Jou,100.0,0.422,0.4426550341530468
vle_0112,Xu,100.0,0.424,0.0451903773105577
vle_0113,Xu,100.0,0.425,0.122894419502302
vle_0114,Xu,100.0,0.475,0.456575221173424
vle_0115,Jou,100.0,0.477,0.6096030796598019
vle_0116,Jou,100.0,0.481,0.4390734410777063
vle_0117,Xu,100.0,0.501,0.3884477495722582
vle_0118,Xu,100.0,0.52,0.3625517251382142
vle_0119,Jou,100.0,0.571,0.2965559678205992
vle_0120,Jou,100.0,0.589,0.5098664204881065
vle_0121,Jou,100.0,0.6135,0.2271140566325701
vle_0122,Jou,120.0,0.00333,-0.370402101026855
vle_0123,Jou,120.0,0.0112,-0.5221927402889215
vle_0124,Jou,120.0,0.0247,-0.4995450887484334
vle_0125,Jou,120.0,0.119,-0.2343310827997454
vle_0126,Mamun,120.0,0.155,-0.377720150424488
vle_0127,Mamun,120.0,0.1766,-0.2822559885405733
vle_0128,Mamun,120.0,0.1843,-0.2014636727772388
vle_0129,Mamun,120.0,0.2085,-0.2284509886814284
vle_0130,Mamun,120.0,0.2326,-0.1318954067195472
vle_0131,Mamun,120.0,0.2381,-0.1960823923353056
vle_0132,Mamun,120.0,0.256,-0.0941086087274405
vle_0133,Mamun,120.0,0.2901,0.0229662140300599
vle_0134,Mamun,120.0,0.2967,0.0608072315633343
vle_0135,Mamun,120.0,0.3004,0.0574074692653719
vle_0136,Mamun,120.0,0.3125,0.074490136602712
vle_0137,Xu,120.0,0.314,0.101530623644578
vle_0138,Xu,120.0,0.314,0.1472916391128083
vle_0139,Mamun,120.0,0.3191,0.0719124391282338
vle_0140,Mamun,120.0,0.3298,0.1227554484567171
vle_0141,Mamun,120.0,0.3424,0.1270263468623524
vle_0142,Mamun,120.0,0.3424,0.1420564828842125
vle_0143,Jou,120.0,0.349,0.3963360138290262
vle_0144,Mamun,120.0,0.35,0.1518412802081137
vle_0145,Mamun,120.0,0.3594,0.176978725786516
vle_0146,Xu,120.0,0.37,0.4237970804837974
vle_0147,Xu,120.0,0.385,0.2994458673491691
vle_0148,Xu,120.0,0.387,0.5549442030100527
vle_0149,Mamun,120.0,0.3882,0.2164320431553522
vle_0150,Jou,120.0,0.4115,0.4343021837762864
vle_0151,Mamun,120.0,0.4182,0.2835181961180265
vle_0152,Xu,120.0,0.422,0.2175736831365138
vle_0153,Xu,120.0,0.423,0.3157495250611065
vle_0154,Jou,120.0,0.444,0.389800423444415
vle_0155,Xu,120.0,0.467,0.424196240532773
vle_0156,Jou,120.0,0.473,0.2852176009058215
vle_0157,Xu,120.0,0.492,0.4267769316996488
vle_0158,Xu,120.0,0.508,0.3863338682066972
vle_0159,Jou,120.0,0.536,0.3091035143387102
vle_0160,Jou,120.0,0.639,0.1292544669142965
