parameter,norm_sensitivity,relative_rank,near_zero_sensitivity,high_correlation_risk,interpretation
MEAH+__s,0.18281274138349177,5,False,False,Material standalone sensitivity on the tracked metrics.
MEAH+__e,0.0009581412793756684,11,False,False,Material standalone sensitivity on the tracked metrics.
MEAH+__d_born,0.045695532461429066,9,False,False,Material standalone sensitivity on the tracked metrics.
MEACOO-__s,0.18786938698820568,4,False,True,"Material sensitivity, but vector is highly correlated with another parameter."
MEACOO-__e,0.00035386686992760455,12,False,False,Material standalone sensitivity on the tracked metrics.
MEACOO-__d_born,0.026978766486495512,10,False,True,"Material sensitivity, but vector is highly correlated with another parameter."
k_ij__CO2__MEA,0.7223845115416284,2,False,False,Material standalone sensitivity on the tracked metrics.
k_ij__MEA__H2O,1.2216814980801938,1,False,False,Material standalone sensitivity on the tracked metrics.
k_ij__MEAH+__MEACOO-,0.14631742341463252,6,False,False,Material standalone sensitivity on the tracked metrics.
k_ij__MEAH+__HCO3-,0.062343419201559745,7,False,True,"Material sensitivity, but vector is highly correlated with another parameter."
HCO3-__d_born,0.05729790103205417,8,False,True,"Material sensitivity, but vector is highly correlated with another parameter."
CO3^2-__d_born,0.25017039855596335,3,False,False,Material standalone sensitivity on the tracked metrics.
H3O+__d_born,9.356242572619774e-05,14,True,False,Near-zero sensitivity on the tracked metrics.
OH-__d_born,0.00021146201474736857,13,False,False,Material standalone sensitivity on the tracked metrics.
