row_id,temperature_C,CO2_loading,source,target_x_CO2,target_x_MEA,target_x_H2O,target_x_MEAH+,target_x_MEACOO-,target_x_HCO3-,target_x_CO3^2-,target_x_H3O+,target_x_OH-,model_x_CO2,log10_model_over_target_CO2,model_x_MEA,log10_model_over_target_MEA,model_x_H2O,log10_model_over_target_H2O,model_x_MEAH+,log10_model_over_target_MEAH+,model_x_MEACOO-,log10_model_over_target_MEACOO-,model_x_HCO3-,log10_model_over_target_HCO3-,model_x_CO3^2-,log10_model_over_target_CO3^2-,model_x_H3O+,log10_model_over_target_H3O+,model_x_OH-,log10_model_over_target_OH-,reaction_R1_water_autoionization,reaction_R2_CO2_to_HCO3,reaction_R3_HCO3_to_CO3,reaction_R4_MEACOO_hydrolysis,reaction_R5_MEAH_dissociation,mass_balance_carbon_total,mass_balance_mea_total,mass_balance_water_total,charge_residual,state_failure_count,solver_returned,accepted,rejection_reason,model_role,message
cheq_0000,20.0,0.075,Bottinger,0.0013497353570532872,0.14852414575618061,0.8281951204879631,0.007108385188704443,0.008558219077847738,0.0024072801195538164,1.000000028893599e-12,0.0038571140106971116,1e-12,2.30847970667679e-11,-7.766922563495552,0.09534407841478319,-0.19250333792814728,0.8872094134060651,0.02989347366307288,0.00895704143355889,0.10039362989079749,0.007945050250727234,-0.03228675122064044,5.83776424564262e-06,-2.6152800769413544,0.0004675747276910488,8.669851017056672,4.049263251736359e-14,-10.978886464020915,7.100397980334554e-05,7.851282691792204,-3.5980871615493015e-08,-3.868231956971613e-08,-2.304058455138147e-08,8.718696875575915e-10,-9.485826168997846e-08,7.928131762202639e-11,9.470965123270503e-10,-6.605909153023504e-10,-1.642069950337239e-11,0,True,True,,activity_equilibrium,converged
cheq_0001,20.0,0.106,Matin,0.00046593644367666514,0.0945878840245385,0.8813722484307215,0.011548774026001098,0.009407036766965863,0.0023799287815134008,1.0349482089040186e-12,0.00023819152454806168,1e-12,5.374327018355168e-11,-6.938002591589039,0.088412235868334,-0.029323136567243956,0.8871713879303884,0.00284815512529906,0.012471225536300106,0.033373249688238585,0.011362707819790131,0.08202899794261508,9.311132618274331e-06,-2.4075614488096506,0.0005260749384873426,8.706128995795687,5.368738651146171e-14,-9.647054041003491,4.70567202848134e-05,7.6726216548450275,-4.521321272932255e-08,-4.600395442366789e-08,-6.2368826547754e-08,1.3415283106610332e-08,2.5766485833855768e-08,1.4263012645954198e-11,7.069346497079465e-11,1.0626033386529343e-10,-1.315756098502598e-11,0,True,True,,activity_equilibrium,converged
cheq_0002,20.0,0.11,Jakobsen,0.0025078904260246175,0.10164700583465086,0.8742782271775751,0.008097766617566568,0.010630416286859101,1.211598788673816e-06,0.00010120692981795064,0.0027362751277171075,1e-12,5.921146056182576e-11,-7.626902783609795,0.08751698897219913,-0.06500222304970796,0.8871673665519296,0.006355895449737808,0.012923724476677901,0.2030224346498599,0.011805455987178448,0.04553249459779051,9.818040891101784e-06,0.9086660060939281,0.0005318045649567658,0.7205418105164044,5.5335459508034865e-14,-10.694156242102792,4.484134690039026e-05,7.651678649030473,-8.13963456636202e-08,-8.2288675429254e-08,-7.958451675449396e-08,2.210473404318236e-08,1.762209578259899e-08,4.6628992333985764e-11,2.9573986315423184e-10,1.85241821881732e-11,-2.780690129924098e-11,0,True,True,,activity_equilibrium,converged
cheq_0003,20.0,0.128,Matin,0.0005800357391936413,0.08945165592133604,0.8815634747052938,0.01397071978577341,0.012016278611627344,0.002186138203460926,1e-12,0.00023169703131486162,1e-12,8.948744398192894e-11,-6.81169265009736,0.08348701321630031,-0.029969460339490706,0.8871512839649495,0.0027440974179026227,0.014957762361019247,0.029647847173795008,0.013801393641801508,0.06015295354294337,1.229392887124496e-05,-2.2499869176424507,0.0005538220072881729,8.743370209361734,6.267314344331098e-14,-9.567838991518586,3.643079021991768e-05,7.561468591621484,-4.20434300707484e-08,-4.23463148990777e-08,-5.897882360272888e-08,1.3802921472461094e-08,2.6654987550500664e-08,1.6668756652737926e-11,7.322427386657893e-11,1.3871759296790742e-10,-1.4183318175530271e-11,0,True,True,,activity_equilibrium,converged
cheq_0004,20.0,0.15,Bottinger,0.0028425691382644074,0.13219105498332526,0.821437289898536,0.01472025381441536,0.017016368693273293,0.0047004031778125795,3.184741223422577e-05,0.007060212881138963,1.0000000000000002e-12,1.4264734607606585e-10,-7.299447340486335,0.0785594361303519,-0.22600371100272207,0.887135317469594,0.03341545499203452,0.017439619388141245,0.07362170401641208,0.01624711386553846,-0.02009066267461565,1.581887781426628e-05,-2.472959439656381,0.0005739925242604205,1.2558320866890516,7.160782752630313e-14,-10.993857298109441,2.8701601581002385e-05,7.457906131520921,-2.7039018135610604e-08,-2.7236573885147664e-08,-6.112911066225024e-08,9.638364772968089e-09,-3.106392298946048e-08,3.676576057487502e-11,2.276932392630826e-10,-1.3565826240125034e-10,-5.154923796851785e-12,0,True,True,,activity_equilibrium,converged
cheq_0005,20.0,0.15,Matin,0.0006577600814271924,0.08416673974509128,0.8819503594608166,0.016296978463269295,0.014622434463450922,0.0019901358908814893,1.0000000000709608e-12,0.00031559189306311694,9.999999999999998e-13,1.4264736635854706e-10,-6.663803755338377,0.07855943604144659,-0.029942147716172766,0.8871353176556748,0.0025457276713406855,0.017439619301170144,0.02942990863159994,0.01624711391018389,0.045756541796495305,1.5818878126751642e-05,-2.099707051877497,0.0005739924725489183,8.758906196980565,7.160783325182325e-14,-9.64416530569689,2.870159813004469e-05,7.457906079303209,-6.641202610069286e-08,-6.885007053369918e-08,-9.484214302801774e-08,2.436911294978472e-08,4.977831125074772e-08,3.6896766891780786e-11,1.4378682966498246e-10,3.5050318203388997e-10,-2.979511312016991e-11,0,True,True,,activity_equilibrium,converged
cheq_0006,20.0,0.173,Matin,0.0007448135104815942,0.07899057569361166,0.8819946459212191,0.018728481370144517,0.01714358210773746,0.0019914003276031217,1.002169432384618e-12,0.0004065010672004016,1e-12,2.2541029476479732e-10,-6.519073798967693,0.07340658813152491,-0.031840240086425706,0.8871216431942114,0.0025172261108366307,0.020030547420122443,0.029190255087101293,0.018809033685431378,0.040264912441019624,2.0226960341172984e-05,-1.993227951290875,0.000589326423031573,8.76941476155382,8.115487666082848e-14,-9.699747068053096,2.2633959845582114e-05,7.354760541079839,-5.892593435419258e-08,-6.009117825556132e-08,-6.603198343668737e-08,2.1624430246447446e-08,4.605120551559594e-08,4.1056984201315316e-11,1.454668885347843e-10,4.219948834816023e-10,-3.087807411494901e-11,0,True,True,,activity_equilibrium,converged
cheq_0007,20.0,0.195,Matin,0.0007199482979771388,0.07378495959070201,0.8822212379080631,0.021169786416004453,0.019644835835966427,0.0019920912636592174,1.002179718118685e-12,0.0004671406856255507,1e-12,3.430119706363965e-10,-6.321992032759619,0.06847732465386855,-0.032421059253699785,0.8871102547302466,0.002400091153737618,0.02250626244840116,0.026586902524281832,0.021262582113488932,0.03436759987822599,2.5315900807274687e-05,-1.8959158455188159,0.0006001046564029085,8.777281387264066,9.07575441412177e-14,-9.71156495826361,1.8155153681910322e-05,7.258999929532202,-5.5528364129031615e-08,-5.6958928240646856e-08,-7.095640341958642e-08,2.161316459137197e-08,4.963001742908091e-08,4.465601846637135e-11,1.4550892435405416e-10,4.94877472334565e-10,-3.1600348260416716e-11,0,True,True,,activity_equilibrium,converged
cheq_0008,20.0,0.21,Jakobsen,0.002778054998298223,0.07414006614812994,0.8810595765813061,0.017855580289981778,0.02031953866057732,9.66449761707198e-05,0.0003966449992565626,0.0033538933452793886,1e-12,4.540126259988136e-10,-6.786672908727035,0.06511652072880139,-0.0563617816633982,0.8871029428992397,0.002968743919476944,0.02419318922122482,0.13191915325050796,0.022936459178043017,0.05261253101088631,2.9393360125979074e-05,-0.516930047681092,0.0006058425247276581,0.18395777041232445,9.772516667369615e-14,-10.53554282799763,1.565163372715395e-05,7.194559676173625,-4.287844745931579e-09,1.2921066883109233e-08,2.3459989506591228e-08,2.0091484032036533e-09,3.7229881399980513e-09,2.962213807577996e-14,7.245593014459928e-14,4.898303984646191e-13,-2.825470502639156e-14,0,True,True,,activity_equilibrium,converged
cheq_0009,20.0,0.218,Matin,0.0007498245413025849,0.06854375038577457,0.8823797860708276,0.023613997972064357,0.022071234345391516,0.0020920851536561803,1.0000000000001286e-12,0.0005493215289833383,1.0000000000000002e-12,5.266550593791023e-10,-6.153433389866719,0.0633241822772211,-0.03439827292487628,0.8870990766507404,0.0023165766601406543,0.025092611509555086,0.026376341188857438,0.02382937539699117,0.033286037009730145,3.180646856092031e-05,-1.8180639050224416,0.0006084825068192243,8.784248097272542,1.0162609409112286e-13,-9.732821386027819,1.4464663355364395e-05,7.160308330510174,-5.011998815973584e-08,-5.12781141992491e-08,-6.885743886186901e-08,2.126745357600157e-08,5.195700580884477e-08,4.7635423383596276e-11,1.425483758810131e-10,5.720612872295305e-10,-3.210362540009262e-11,0,True,True,,activity_equilibrium,converged
cheq_0010,20.0,0.235,Bottinger,0.0043969201416978725,0.1124028504384268,0.8151801914000463,0.0240872770856017,0.026572171304108105,0.007186363503379458,0.00016765613461799313,0.010006569991121848,1e-12,7.212273713381616e-10,-6.785076377596864,0.05951582005234329,-0.2761449027015827,0.887090693609088,0.036714405205082117,0.02700340512257013,0.049630823509318946,0.02572694399268771,-0.01403884250657195,3.758026767234965e-05,-2.281549311955721,0.0006133247596745325,0.5632710482374481,1.104483193567727e-13,-10.957126125608257,1.2231474626149144e-05,7.087478818720117,9.771925846280283e-08,8.261540429543857e-08,7.307935590006309e-08,2.4148615551666808e-08,6.140637154317119e-08,5.301554334424807e-12,7.697262272010619e-11,5.206834963189522e-12,-1.282711779912319e-10,0,True,True,,activity_equilibrium,converged
cheq_0011,20.0,0.241,Matin,0.0007228113157221105,0.06333014982717777,0.8825671972044854,0.025964612628512785,0.02439872482238661,0.0022911960019207523,1e-12,0.0007253081977945802,1e-12,8.059096176834105e-10,-5.952738604238088,0.05817184719194177,-0.03689766085979023,0.8870876260259055,0.002218739538575427,0.027677673824668816,0.027747739307421443,0.026396648118923442,0.034181654168961906,3.985614742399674e-05,-1.759566926187228,0.0006148217066015084,8.788749192091924,1.1376652371632011e-13,-9.804508098244115,1.1526178511582817e-05,7.061685341429184,-3.949143234649455e-08,-4.177811518957242e-08,-4.7502751954198175e-08,1.7281937658708557e-08,5.4677791183621594e-08,4.914242970888161e-11,1.3444173552201732e-10,6.558344978202513e-10,-3.2402912853772233e-11,0,True,True,,activity_equilibrium,converged
cheq_0012,20.0,0.25,Jakobsen,0.000679605295397699,0.06052140387765808,0.8836644403454075,0.02474419441646342,0.026483565374124204,0.0001934878680715837,0.0005934813320483123,0.003119821489828991,9.999999999999998e-13,9.523259140964603e-10,-5.853471151936935,0.05615608280694729,-0.03251218775955377,0.887082863669018,0.0016768109454964794,0.028688971490692262,0.0642416596377918,0.02740111476039255,0.014791779601492085,4.3536126476209264e-05,-0.6478039533074231,0.0006168904417808504,0.016800978478710794,1.1897950475918277e-13,-10.418657588352914,1.0539752247855246e-05,7.022830402275583,-2.124773068601371e-08,1.8092052300744399e-09,3.6647698209435475e-09,1.2699816309691414e-08,6.633505122977112e-08,3.4899857309644844e-11,7.552737602001258e-11,7.19479142929913e-10,-3.099724758317548e-11,0,True,True,,activity_equilibrium,converged
cheq_0013,20.0,0.264,Matin,0.0006150268060850508,0.05814079487394461,0.8826304633899549,0.028428341484341153,0.026717507988862486,0.0025893494741451237,1.0000910613256701e-12,0.000878515980666638,1e-12,1.2368683046315854e-09,-5.696570584362516,0.05302101737045469,-0.04003290820191219,0.8870749198797455,0.0021813879359642023,0.03026191512606931,0.02714488529977699,0.028963236577464767,0.03505114376042865,4.998206554063458e-05,-1.7143764697236032,0.0006197687730620228,8.79219014497453,1.2773908421819757e-13,-9.837425867640722,9.158970666900269e-06,6.961846668121529,-3.338498189009442e-08,-3.6382971302373335e-08,-5.096440958141102e-08,1.6693389781607948e-08,6.006404262848264e-08,5.129945773729716e-11,1.3029398393538116e-10,7.380216437979925e-10,-3.263230606582589e-11,0,True,True,,activity_equilibrium,converged
cheq_0014,20.0,0.287,Matin,0.00043753778099531773,0.05296333643280656,0.8827517460929776,0.030800668348446816,0.02893729715495581,0.0029863926896543944,9.999999999999998e-13,0.0011230214981633871,9.999999999999998e-13,1.9156412516985147e-09,-5.358701379284785,0.04787256970764381,-0.04388859553345568,0.8870598405733582,0.0021143328135981845,0.0328457031899923,0.02791842363983022,0.03152789607921505,0.03723702630907298,6.293391029491116e-05,-1.6762621970581355,0.0006238186066577641,8.795058324329878,1.443097727478352e-13,-9.891092327320644,7.236017052598081e-06,6.85949958165938,-2.0243707155032098e-08,6.521148776528207e-08,6.611199410144764e-08,1.1853714454446163e-08,5.660651680727824e-08,4.542308543187268e-11,1.0610681777656339e-10,7.28258120474834e-10,-2.881327019780899e-11,0,True,True,,activity_equilibrium,converged
cheq_0015,20.0,0.29,Jakobsen,0.0013721654303113938,0.056721581223652465,0.8800055324990995,0.023802043448114107,0.029862900028818824,0.0001949868651783167,0.0005949823526474832,0.007445808151178,1.0000000000000002e-12,2.030170614334123e-09,-5.8298739364203325,0.04720126683743573,-0.0797946742970708,0.887057630065887,0.0034664333272142254,0.03318270121986465,0.1442974930178592,0.031862200838666865,0.028143790414800987,6.488472144474388e-05,-0.4778629126297993,0.0006243014066835166,0.020890228873173745,1.4671490943842042e-13,-10.705437592098981,7.012879700225082e-06,6.845896389023332,4.640057227334182e-10,-4.811319342934439e-09,-1.07475983668337e-09,5.6714046792194495e-09,7.93294958612023e-08,3.1364480457263255e-11,5.092905264181269e-11,8.788521022040641e-10,-3.2121894426080536e-11,0,True,True,,activity_equilibrium,converged
cheq_0016,20.0,0.309,Bottinger,0.0057382054346754325,0.09439199294899088,0.8109396513837704,0.03288436617307017,0.03474306825290338,0.009318320953273226,0.0002691239397366934,0.011715270912579831,1e-12,2.9537442294170596e-09,-6.288403206272804,0.04295131091992703,-0.34195873217846845,0.8870419150318294,0.03895560582918802,0.035316980442270586,0.030994089353125098,0.03397787750280033,-0.00967192321473723,7.899582918854238e-05,-2.0717335028114445,0.0006271898944597994,0.36744672035051823,1.636027249057394e-13,-10.85496180315371,5.727425616446029e-06,6.75795945760359,6.708324562509915e-08,5.5029264700579006e-08,7.394337586674737e-08,-9.076488893811074e-09,5.155971294357187e-08,7.044212435580732e-12,1.9955093133461332e-11,6.9402261715367786e-12,-1.0060146706261338e-10,0,True,True,,activity_equilibrium,converged
cheq_0017,20.0,0.31,Matin,0.0003158605077836934,0.04787879458098555,0.88287868796014,0.03317576359639835,0.031079930349586424,0.003383398123957891,1.0006217651149979e-12,0.0012875648791472111,9.999999999999998e-13,3.01377418200778e-09,-5.020384621112967,0.04272771790101335,-0.04943351021949944,0.8870409938921465,0.002042657471088197,0.03542931033386952,0.0285417707744792,0.034089140601957446,0.04013601579333126,7.98332324147551e-05,-1.6271693901304123,0.0006273355089939474,8.797229925303819,1.645806410218961e-13,-9.893390372426422,5.6655156656941255e-06,6.753239444750757,-1.716882103153239e-08,-2.0372635134435768e-08,-5.564703187133091e-08,1.2657221049039435e-08,7.4416615092332e-08,5.167827971108707e-11,1.114654757383704e-10,9.151206459279138e-10,-3.284867611666936e-11,0,True,True,,activity_equilibrium,converged
cheq_0018,20.0,0.334,Matin,9.074964183809489e-05,0.042710499000621835,0.8829956282479943,0.0354623062203113,0.033123684537685716,0.003977877015087029,1.0001007874467317e-12,0.0016392553344616381,1e-12,4.9586140150612774e-09,-4.2624846161183925,0.03736498721568838,-0.05806980746011398,0.8870152161615076,0.001972516560354773,0.03812524762881445,0.031445697509183815,0.036755933748380286,0.04518882018073837,0.00010357799397337369,-1.5843838561668644,0.0006307036258049631,8.7997815584573,1.914991735359767e-13,-9.932479701622189,4.328667025480131e-06,6.636354179816775,2.8163178455997695e-09,4.368783734776116e-08,4.9048328065737223e-08,3.5873277681730542e-09,7.125218459691496e-08,4.568943834382111e-11,8.845815746560959e-11,9.533819289586631e-10,-3.082738654106666e-11,0,True,True,,activity_equilibrium,converged
cheq_0019,20.0,0.358,Matin,1e-12,0.03775707657606801,0.8829420421710837,0.03786062064138502,0.03507866377624308,0.004571776847680795,1.0001580314766216e-12,0.0017898199845391705,1e-12,8.46418727466066e-09,3.9275852637946027,0.03201151999782336,-0.07169206456277265,0.8869797831782342,0.001981524444449093,0.040821326007373204,0.03269937889805303,0.03941332217574616,0.05060000161257025,0.00013683389815722597,-1.5238913245340644,0.0006339636876616037,8.801995756185057,2.27380872719206e-13,-9.896055423928631,3.2425905896856356e-06,6.510892118002384,1.0882429180014697e-08,6.639066185698539e-08,5.5024798939484754e-08,1.9229560166422743e-09,8.029821430000084e-08,4.46963299705061e-11,7.926627410004272e-11,1.0380746262583784e-09,-3.097114752244383e-11,0,True,True,,activity_equilibrium,converged
cheq_0020,20.0,0.382,Matin,9.999999999999998e-13,0.03280550367447648,0.8832211228767433,0.04030653134225544,0.036729626166843464,0.00525706055504629,1.0002080372628479e-12,0.001680155381634733,9.999999999999998e-13,1.5230414064726778e-08,4.182711710531153,0.026673294639831268,-0.08987004770464967,0.8869287389808831,0.001819280507713471,0.04351756804434063,0.03328919136075972,0.04205530470651943,0.05880427581989733,0.00018553104984606508,-1.4523263775175275,0.0006371849749891552,8.804175186418474,2.7773073731011913e-13,-9.781725500251687,2.3623728986522922e-06,6.373348451721467,3.148731764213153e-08,2.3001337723371762e-08,2.968060286434593e-08,-8.627532466221055e-09,8.821784902579566e-08,4.3352987866285275e-11,6.69895250382524e-11,1.2027605578168732e-09,-3.3200524488884284e-11,0,True,True,,activity_equilibrium,converged
