source,species,CO2_loading,mole_fraction,accepted,message
reference,CO2,0.11,0.0022259663484652,,
reference,CO2,0.125,0.0025550822124158,,
reference,CO2,0.205,0.0041802904885613,,
reference,CO2,0.21,0.0003799120183462,,
reference,CO2,0.236,0.0048529795612247,,
reference,CO2,0.25,0.0001748188924745,,
reference,CO2,0.28,0.0057576340684548,,
reference,CO2,0.29,0.0026583119892473,,
reference,CO2,0.343,0.0071480411026698,,
reference,CO2,0.354,0.0073865616571188,,
reference,CO2,0.4,0.003161802720765,,
reference,CO2,0.46,0.0100905577167367,,
reference,CO2,0.466,0.0098114099353816,,
reference,CO2,0.487,0.0102761901594432,,
reference,CO2,0.508,0.010644991432994,,
reference,CO2,0.6,0.0036421429637546,,
reference,CO2,0.663,0.0121684628695156,,
reference,CO2,0.683,0.0132585113412914,,
reference,CO2,0.762,0.0146170675174119,,
reference,CO2,0.78,0.0065355867096273,,
model,CO2,0.11,6.108438025997366e-10,True,converged
model,CO2,0.125,8.63635898761561e-10,True,converged
model,CO2,0.205,4.23972603203921e-09,True,converged
model,CO2,0.21,4.650309510948595e-09,True,converged
model,CO2,0.236,7.496349012478567e-09,True,converged
model,CO2,0.25,9.693742418757093e-09,True,converged
model,CO2,0.28,1.694388041496157e-08,True,converged
model,CO2,0.29,2.049460047749781e-08,True,converged
model,CO2,0.343,5.991136331450773e-08,True,converged
model,CO2,0.354,7.635696910280785e-08,True,converged
model,CO2,0.4,2.390357546170674e-07,True,converged
model,CO2,0.46,1.9372498432823643e-06,True,converged
model,CO2,0.466,2.556763771925533e-06,True,converged
model,CO2,0.487,7.663632681077075e-06,True,converged
model,CO2,0.508,2.5229939879171136e-05,True,converged
model,CO2,0.6,0.0006087728010852,True,converged
model,CO2,0.663,0.0017441018002178,True,converged
model,CO2,0.683,0.0022550597551143,True,converged
model,CO2,0.762,0.0050107386075709,True,converged
model,CO2,0.78,0.0057989466522583,True,converged
reference,MEA,0.11,0.098714491233705,,
reference,MEA,0.125,0.1099994325021067,,
reference,MEA,0.205,0.0952001006904978,,
reference,MEA,0.21,0.073680934463374,,
reference,MEA,0.236,0.0869189627411169,,
reference,MEA,0.25,0.0573102772793931,,
reference,MEA,0.28,0.0790669532467977,,
reference,MEA,0.29,0.0571397063129224,,
reference,MEA,0.343,0.0657023781369724,,
reference,MEA,0.354,0.0637337699134454,,
reference,MEA,0.4,0.0380144774067549,,
reference,MEA,0.46,0.0422455203120771,,
reference,MEA,0.466,0.0455966720924144,,
reference,MEA,0.487,0.0423683083268131,,
reference,MEA,0.508,0.0398580721910683,,
reference,MEA,0.6,0.0028026163797143,,
reference,MEA,0.663,0.019326355753999,,
reference,MEA,0.683,0.0154436338723542,,
reference,MEA,0.762,0.0057172026570956,,
reference,MEA,0.78,0.0012010544019588,,
model,MEA,0.11,0.0875401730935343,True,converged
model,MEA,0.125,0.0841827743960139,True,converged
model,MEA,0.205,0.0662747999385387,True,converged
model,MEA,0.21,0.0651560298906588,True,converged
model,MEA,0.236,0.0593404907890536,True,converged
model,MEA,0.25,0.0562108805357741,True,converged
model,MEA,0.28,0.0495107671638325,True,converged
model,MEA,0.29,0.0472798576723786,True,converged
model,MEA,0.343,0.0354903390636265,True,converged
model,MEA,0.354,0.0330545543254385,True,converged
model,MEA,0.4,0.0229546928131741,True,converged
model,MEA,0.46,0.0104481212172959,True,converged
model,MEA,0.466,0.0093209883795885,True,converged
model,MEA,0.487,0.0058370384332862,True,converged
model,MEA,0.508,0.003442841979828,True,converged
model,MEA,0.6,0.0008429637411028,True,converged
model,MEA,0.663,0.0005407984878376,True,converged
model,MEA,0.683,0.0004854513224289,True,converged
model,MEA,0.762,0.0003440087876138,True,converged
model,MEA,0.78,0.0003219699796065,True,converged
reference,H2O,0.11,0.878002529592188,,
reference,H2O,0.125,0.858453159725085,,
reference,H2O,0.205,0.8519238906969572,,
reference,H2O,0.21,0.8789393867919769,,
reference,H2O,0.236,0.8533790772291753,,
reference,H2O,0.25,0.8901956648425051,,
reference,H2O,0.28,0.8489751510824555,,
reference,H2O,0.29,0.882667036793884,,
reference,H2O,0.343,0.8468720105051863,,
reference,H2O,0.354,0.8457591970629447,,
reference,H2O,0.4,0.8565928771919842,,
reference,H2O,0.46,0.8475782079603768,,
reference,H2O,0.466,0.8346491653901871,,
reference,H2O,0.487,0.833133418491292,,
reference,H2O,0.508,0.8330271432308084,,
reference,H2O,0.6,0.8632045851615956,,
reference,H2O,0.663,0.8052170222072254,,
reference,H2O,0.683,0.820355249136373,,
reference,H2O,0.762,0.7841114365985161,,
reference,H2O,0.78,0.8239593641596975,,
model,H2O,0.11,0.8874263962827926,True,converged
model,H2O,0.125,0.887419369532818,True,converged
model,H2O,0.205,0.8873783376557765,True,converged
model,H2O,0.21,0.8873751599987952,True,converged
model,H2O,0.236,0.8873563592929055,True,converged
model,H2O,0.25,0.8873442567877733,True,converged
model,H2O,0.28,0.8873117635024721,True,converged
model,H2O,0.29,0.8872983561629348,True,converged
model,H2O,0.343,0.8871920454527326,True,converged
model,H2O,0.354,0.887158704842033,True,converged
model,H2O,0.4,0.8869328751654484,True,converged
model,H2O,0.46,0.8859756547773537,True,converged
model,H2O,0.466,0.8857577592542093,True,converged
model,H2O,0.487,0.884540834672904,True,converged
model,H2O,0.508,0.8822559294454283,True,converged
model,H2O,0.6,0.8649634507182004,True,converged
model,H2O,0.663,0.8524842090481525,True,converged
model,H2O,0.683,0.8486589273380128,True,converged
model,H2O,0.762,0.8343685958411193,True,converged
model,H2O,0.78,0.8313024186559277,True,converged
reference,MEAH+,0.11,0.0065009262819361,,
reference,MEAH+,0.125,0.0117071824281811,,
reference,MEAH+,0.205,0.0194291771381749,,
reference,MEAH+,0.21,0.0161092109349359,,
reference,MEAH+,0.236,0.0222750262231331,,
reference,MEAH+,0.25,0.0220144775233184,,
reference,MEAH+,0.28,0.0265244867376128,,
reference,MEAH+,0.29,0.0226340825698249,,
reference,MEAH+,0.343,0.0320357453000134,,
reference,MEAH+,0.354,0.0330064266278642,,
reference,MEAH+,0.4,0.0479560217512427,,
reference,MEAH+,0.46,0.0386574847936054,,
reference,MEAH+,0.466,0.0426711846891649,,
reference,MEAH+,0.487,0.0443487634952111,,
reference,MEAH+,0.508,0.0468859123962562,,
reference,MEAH+,0.6,0.0622453056746947,,
reference,MEAH+,0.663,0.0819926727322452,,
reference,MEAH+,0.683,0.0758383835045151,,
reference,MEAH+,0.762,0.0981721058201455,,
reference,MEAH+,0.78,0.0757657861662475,,
model,MEAH+,0.11,0.0126524215732375,True,converged
model,MEAH+,0.125,0.0143386260100516,True,converged
model,MEAH+,0.205,0.0233239991931961,True,converged
model,MEAH+,0.21,0.0238853106926647,True,converged
model,MEAH+,0.236,0.0268039056766951,True,converged
model,MEAH+,0.25,0.028375349698035,True,converged
model,MEAH+,0.28,0.0317426390041375,True,converged
model,MEAH+,0.29,0.0328650694915467,True,converged
model,MEAH+,0.343,0.0388141943439279,True,converged
model,MEAH+,0.354,0.0400489787356586,True,converged
model,MEAH+,0.4,0.0452125555546741,True,converged
model,MEAH+,0.46,0.0519426194291042,True,converged
model,MEAH+,0.466,0.0526142680548056,True,converged
model,MEAH+,0.487,0.0549584352291684,True,converged
model,MEAH+,0.508,0.0572814927772533,True,converged
model,MEAH+,0.6,0.0668868627109963,True,converged
model,MEAH+,0.663,0.0726855657791375,True,converged
model,MEAH+,0.683,0.0743643603865487,True,converged
model,MEAH+,0.762,0.0801843849096789,True,converged
model,MEAH+,0.78,0.0813313030346688,True,converged
reference,MEACOO-,0.11,0.0102805873235199,,
reference,MEACOO-,0.125,0.0143738469398675,,
reference,MEACOO-,0.205,0.024058431326919,,
reference,MEACOO-,0.21,0.0174802339310472,,
reference,MEACOO-,0.236,0.0270660000072744,,
reference,MEACOO-,0.25,0.025177695790203,,
reference,MEACOO-,0.28,0.0326617837319321,,
reference,MEACOO-,0.29,0.027876633094357,,
reference,MEACOO-,0.343,0.0395783914736947,,
reference,MEACOO-,0.354,0.0409800332101721,,
reference,MEACOO-,0.4,0.0484227709450143,,
reference,MEACOO-,0.46,0.0492519221784111,,
reference,MEACOO-,0.466,0.0501963974560964,,
reference,MEACOO-,0.487,0.0510997936930724,,
reference,MEACOO-,0.508,0.0482931313711594,,
reference,MEACOO-,0.6,0.048855882783633,,
reference,MEACOO-,0.663,0.0346634075550512,,
reference,MEACOO-,0.683,0.0322825660578965,,
reference,MEACOO-,0.762,0.0187927017276788,,
reference,MEACOO-,0.78,0.0386873808904548,,
model,MEACOO-,0.11,0.0120535745512836,True,converged
model,MEACOO-,0.125,0.0137247687947847,True,converged
