parameter_identity,label,fit_eligible,selected_for_fit,unit,start,fitted_value,change,lower_bound,upper_bound,affine_scale
MEAH+::sigma,MEAH+ sigma,true,true,angstrom,3.48508556586,3.4461715130897708,-0.03891405277022919,2.0,5.8,1.9
MEAH+::epsilon_over_k,MEAH+ epsilon/k,true,true,K,232.687201645,144.5895902036715,-88.0976114413285,50.0,950.0,450.0
MEACOO-::sigma,MEACOO- sigma,true,false,angstrom,3.53543525721,3.53543525721,0.0,2.0,5.8,1.9
MEAH+::dBorn,MEAH+ dBorn,false,false,angstrom,3.53322927146,3.53322927146,0.0,,,
MEACOO-::epsilon_over_k,MEACOO- epsilon/k,false,false,K,453.265244384,453.265244384,0.0,,,
MEACOO-::dBorn,MEACOO- dBorn,false,false,angstrom,3.54107030822,3.54107030822,0.0,,,
kij::CO2-H2O,kij CO2-H2O,false,false,dimensionless,0.0,0.0,0.0,,,
kij::CO2-MEA,kij CO2-MEA,false,false,dimensionless,0.0,0.0,0.0,,,
kij::CO2-MEAH+,kij CO2-MEAH+,false,false,dimensionless,0.0,0.0,0.0,,,
kij::CO2-MEACOO-,kij CO2-MEACOO-,false,false,dimensionless,0.0,0.0,0.0,,,
kij::MEAH+-MEACOO-,kij MEAH+-MEACOO-,false,false,dimensionless,-0.00201813457644,-0.00201813457644,0.0,,,
