parameter_identity,label,fit_eligible,start,unit,screen_step,screen_scale,rms_standardized_log10_sensitivity,max_abs_standardized_log10_sensitivity,mean_standardized_log10_sensitivity,rms_log10_response_for_screen_step
MEAH+::sigma,MEAH+ sigma,true,3.48508556586,angstrom,0.0095,1.9,0.6383245415429547,0.7953181418728196,0.6197642789094755,0.0031916227077147946
MEAH+::epsilon_over_k,MEAH+ epsilon/k,true,232.687201645,K,2.25,450.0,0.5746089538007131,1.294342831106482,0.3634325996672711,0.002873044769003565
MEACOO-::sigma,MEACOO- sigma,true,3.53543525721,angstrom,0.0095,1.9,0.5999897119728168,0.7993145091777233,0.42453824161302967,0.0029999485598641044
MEAH+::dBorn,MEAH+ dBorn,false,3.53322927146,angstrom,0.017666146357300003,3.53322927146,0.44606648412083927,0.6149667482915583,-0.43034370858675697,0.00223033242060417
MEACOO-::epsilon_over_k,MEACOO- epsilon/k,false,453.265244384,K,2.26632622192,453.265244384,0.1298932717580498,0.17915142396242065,0.09775563737001464,0.0006494663587902477
MEACOO-::dBorn,MEACOO- dBorn,false,3.54107030822,angstrom,0.017705351541100003,3.54107030822,0.27444683199943015,0.35596810655942157,-0.24599666638198048,0.0013722341599971576
kij::CO2-H2O,kij CO2-H2O,false,0.0,dimensionless,0.002,1.0,7.627174852761311,8.466232637249687,7.600746844797847,0.015254349705522622
kij::CO2-MEA,kij CO2-MEA,false,0.0,dimensionless,0.002,1.0,0.9148188516175332,1.4853445577643898,0.7878578610862527,0.0018296377032350662
kij::CO2-MEAH+,kij CO2-MEAH+,false,0.0,dimensionless,0.002,1.0,0.00447368973414591,0.010913600011541735,0.002007229853773218,8.94737946829182e-06
kij::CO2-MEACOO-,kij CO2-MEACOO-,false,0.0,dimensionless,0.002,1.0,0.0038800404375458138,0.009436171057725096,0.001790524722239395,7.760080875091628e-06
kij::MEAH+-MEACOO-,kij MEAH+-MEACOO-,false,-0.00201813457644,dimensionless,0.002,1.0,0.47571338867324214,0.6662871866997822,0.421084359818108,0.0009514267773464844
