observation_id,source_key,role,temperature_c,loading_mol_co2_per_mol_mea,observable,parameter,parameter_unit,affine_scale,value,dlog10_observable_daffine_coordinate
vle_obs_0109,Hilliard2008,reserved_validation,40.0,0.3,pco2,MEAH+::sigma,angstrom,1.9,188.19156504544392,1.0717821288735982
vle_obs_0109,Hilliard2008,reserved_validation,40.0,0.3,pco2,MEAH+::epsilon_over_k,kelvin,450.0,188.19156504544392,-7.031271183710642
vle_obs_0109,Hilliard2008,reserved_validation,40.0,0.3,pco2,MEACOO-::sigma,angstrom,1.9,188.19156504544392,-1.427143934493166
vle_obs_0116,Hilliard2008,reserved_validation,60.0,0.38,pco2,MEAH+::sigma,angstrom,1.9,16663.191206215306,1.1353587248922303
vle_obs_0116,Hilliard2008,reserved_validation,60.0,0.38,pco2,MEAH+::epsilon_over_k,kelvin,450.0,16663.191206215306,-6.6029586578310235
vle_obs_0116,Hilliard2008,reserved_validation,60.0,0.38,pco2,MEACOO-::sigma,angstrom,1.9,16663.191206215306,-1.1251250557156458
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,pco2,MEAH+::sigma,angstrom,1.9,1112.2304123246602,1.4875404272850061
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,pco2,MEAH+::epsilon_over_k,kelvin,450.0,1112.2304123246602,-6.897315718335089
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,pco2,MEACOO-::sigma,angstrom,1.9,1112.2304123246602,-0.797541438637962
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,carbamate_mole_fraction,MEAH+::sigma,angstrom,1.9,0.039247543841850425,-9.464848999897331e-05
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,carbamate_mole_fraction,MEAH+::epsilon_over_k,kelvin,450.0,0.039247543841850425,-0.00013395913877510573
vle_obs_0130,Hilliard2008,active_training,40.0,0.35,carbamate_mole_fraction,MEACOO-::sigma,angstrom,1.9,0.039247543841850425,0.0007467617161640181
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,pco2,MEAH+::sigma,angstrom,1.9,46256.68441658755,1.489379892749189
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,pco2,MEAH+::epsilon_over_k,kelvin,450.0,46256.68441658755,-6.4472748947378165
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,pco2,MEACOO-::sigma,angstrom,1.9,46256.68441658755,-0.5816181294645129
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,carbamate_mole_fraction,MEAH+::sigma,angstrom,1.9,0.04272720178381711,-0.0032283230301625105
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,carbamate_mole_fraction,MEAH+::epsilon_over_k,kelvin,450.0,0.04272720178381711,0.003868758001917859
vle_obs_0146,Hilliard2008,reserved_validation,60.0,0.386,carbamate_mole_fraction,MEACOO-::sigma,angstrom,1.9,0.04272720178381711,0.01062986167986943
vle_obs_0153,Hilliard2008,reserved_validation,40.0,0.373,pco2,MEAH+::sigma,angstrom,1.9,4714.301102964898,1.8627648234628609
vle_obs_0153,Hilliard2008,reserved_validation,40.0,0.373,pco2,MEAH+::epsilon_over_k,kelvin,450.0,4714.301102964898,-6.750622930823391
vle_obs_0153,Hilliard2008,reserved_validation,40.0,0.373,pco2,MEACOO-::sigma,angstrom,1.9,4714.301102964898,-0.2026057159337882
vle_obs_0159,Hilliard2008,reserved_validation,60.0,0.415,pco2,MEAH+::sigma,angstrom,1.9,243195.11046690005,1.8493728991356067
vle_obs_0159,Hilliard2008,reserved_validation,60.0,0.415,pco2,MEAH+::epsilon_over_k,kelvin,450.0,243195.11046690005,-6.265140096232357
vle_obs_0159,Hilliard2008,reserved_validation,60.0,0.415,pco2,MEACOO-::sigma,angstrom,1.9,243195.11046690005,0.01413741640683221
vle_obs_0219,Jou1995,active_training,100.0,0.477,pco2,MEAH+::sigma,angstrom,1.9,1588039.79362656,1.269600492436088
vle_obs_0219,Jou1995,active_training,100.0,0.477,pco2,MEAH+::epsilon_over_k,kelvin,450.0,1588039.79362656,-5.296577421590054
vle_obs_0219,Jou1995,active_training,100.0,0.477,pco2,MEACOO-::sigma,angstrom,1.9,1588039.79362656,-0.0054426923798065775
vle_obs_0228,Jou1995,active_training,120.0,0.349,pco2,MEAH+::sigma,angstrom,1.9,160694.96541059922,1.118423040897596
vle_obs_0228,Jou1995,active_training,120.0,0.349,pco2,MEAH+::epsilon_over_k,kelvin,450.0,160694.96541059922,-5.178878842960714
vle_obs_0228,Jou1995,active_training,120.0,0.349,pco2,MEACOO-::sigma,angstrom,1.9,160694.96541059922,-0.4872207430080673
