source_key,row_status,temperature_C,pressure_bar,mea_mass_fraction,co2_loading_mol_per_mol_mea,species,value,value_basis,source_table_or_figure,source_line_start,source_line_end,notes
Wong2015,extracted,30,,0.30,0.1268,CO2(aq),0.0093953,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.2285,CO2(aq),0.015171,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.3310,CO2(aq),0.034752,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.4290,CO2(aq),0.053975,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.5268,CO2(aq),0.073327,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.6432,CO2(aq),0.15975,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.7472,CO2(aq),0.51652,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.8242,CO2(aq),0.56883,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.9723,CO2(aq),1.0885,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.0347,CO2(aq),1.2252,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1169,CO2(aq),1.4156,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,1.1876,CO2(aq),1.6279,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.1267,CO3^2-,0.039468,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.2286,CO3^2-,0.06393,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
Wong2015,extracted,30,,0.30,0.3305,CO3^2-,0.071622,mol/kg,Fig. 8,428,435,Digitized from Wong 2015 Fig. 8 Mathpix crop with calibrated linear x-axis and log10 y-axis.
