sequence,source_key,source_file,source_row,expected_MEA_weight_fraction,expected_temperature,expected_CO2_loading,expected_CO2_pressure,canonical_temperature
1,Aronu2011,Aronu_2011_VLE.csv,34,0.3,40,0.102,0.0016,
2,Aronu2011,Aronu_2011_VLE.csv,35,0.3,40,0.206,0.0123,
3,Aronu2011,Aronu_2011_VLE.csv,36,0.3,40,0.25,0.0246,
4,Aronu2011,Aronu_2011_VLE.csv,37,0.3,40,0.337,0.0603,
5,Aronu2011,Aronu_2011_VLE.csv,38,0.3,40,0.353,0.0851,
6,Aronu2011,Aronu_2011_VLE.csv,39,0.3,40,0.401,0.1835,
7,Aronu2011,Aronu_2011_VLE.csv,40,0.3,40,0.417,0.2928,
8,Aronu2011,Aronu_2011_VLE.csv,41,0.3,40,0.421,0.3188,
9,Aronu2011,Aronu_2011_VLE.csv,42,0.3,40,0.433,0.3809,
10,Aronu2011,Aronu_2011_VLE.csv,43,0.3,40,0.447,0.5702,
11,Aronu2011,Aronu_2011_VLE.csv,44,0.3,40,0.464,1.0662,
12,Aronu2011,Aronu_2011_VLE.csv,45,0.3,40,0.476,1.8326,
13,Aronu2011,Aronu_2011_VLE.csv,46,0.3,40,0.477,1.8278,
14,Aronu2011,Aronu_2011_VLE.csv,47,0.3,40,0.485,2.3193,
15,Aronu2011,Aronu_2011_VLE.csv,48,0.3,40,0.489,2.8577,
16,Aronu2011,Aronu_2011_VLE.csv,49,0.3,40,0.516,8.5583,
17,Aronu2011,Aronu_2011_VLE.csv,50,0.3,40,0.524,11.812,
18,Hilliard2008,Hilliard_2008_VLE.csv,13,0.3,40,0.153,0.0057,
19,Hilliard2008,Hilliard_2008_VLE.csv,14,0.3,40,0.163,0.00664,
20,Hilliard2008,Hilliard_2008_VLE.csv,15,0.3,40,0.17,0.00721,
21,Hilliard2008,Hilliard_2008_VLE.csv,16,0.3,40,0.191,0.00995,
22,Hilliard2008,Hilliard_2008_VLE.csv,17,0.3,40,0.194,0.00985,
23,Hilliard2008,Hilliard_2008_VLE.csv,18,0.3,40,0.232,0.0146,
24,Hilliard2008,Hilliard_2008_VLE.csv,19,0.3,40,0.246,0.0191,
25,Hilliard2008,Hilliard_2008_VLE.csv,20,0.3,40,0.269,0.0231,
26,Hilliard2008,Hilliard_2008_VLE.csv,21,0.3,40,0.272,0.0224,
27,Hilliard2008,Hilliard_2008_VLE.csv,22,0.3,40,0.326,0.0485,
