membership_id,state_id,source_key,source_file,source_row_index,row_status,temperature_C,mea_mass_fraction,co2_loading_mol_per_mol_mea,species,measurement_role,reported_basis,conversion_eligible,lifecycle_status,target_membership,target_eligible,eligibility_reason
Bottinger2008_state_001|CO2,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_001|MEA,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,MEA,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_001|MEAH+,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,MEAH+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_001|MEACOO-,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,MEACOO-,direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_001|HCO3-,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,HCO3-,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_001|CO3^2-,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,CO3^2-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_001|H3O+,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,H3O+,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_001|OH-,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,OH-,balance_inferred,,true,validation_reserved,transferability_candidate,no,Balance-inferred context is not an independent measurement.
Bottinger2008_state_001|MEA + MEAH+,Bottinger2008_state_001,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,1,reported,20,0.2,0.228,MEA + MEAH+,aggregate_direct_positive,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
Bottinger2008_state_002|CO2,Bottinger2008_state_002,Bottinger2008,data/reference/MEA/observations/liquid_speciation/Bottinger_2007_ChEq.csv,2,reported,20,0.2,0.267,CO2,direct_zero,mole_fraction,true,validation_reserved,transferability_candidate,no,Non-30-wt% state is reserved for composition-transfer review.
