observation_id,data_family,source_key,group_id,split,role,source_path,reason
AMU-DENS-001,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.20|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-002,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.30|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-003,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.40|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-004,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.50|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-005,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.70|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-006,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.90|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-007,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=1.00|T=25,training,future_training,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve admitted for future calibration.
AMU-DENS-008,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.20|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-009,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.30|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
AMU-DENS-010,unloaded_mea_density,Amundsen2009,Amundsen2009|unloaded|w=0.40|T=40,validation,reserved_validation,data/reference/MEA/observations/density_viscosity/Amundsen_2009_density_viscosity.csv,Complete MEA-fraction/temperature loading curve reserved.
