observation_id,source_key,source_file,source_row,source_table_or_figure,doi,MEA_weight_fraction,temperature_reported_C,temperature_canonical_C,temperature_normalized,CO2_loading,CO2_pressure,MEA_pressure,H2O_pressure,pressure_MEA_raoult,total_pressure,CO2_loading_uncertainty,CO2_pressure_uncertainty,replicate_group,normalization_group,active_view_member,active_row_id,lifecycle_status,disposition_reason,notes
vle_obs_0001,Aronu2011,Aronu_2011_VLE.csv,1,,,0.15,40,,no,0.111,0.0017,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0002,Aronu2011,Aronu_2011_VLE.csv,2,,,0.15,40,,no,0.148,0.0035,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0003,Aronu2011,Aronu_2011_VLE.csv,3,,,0.15,40,,no,0.186,0.0068,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0004,Aronu2011,Aronu_2011_VLE.csv,4,,,0.15,40,,no,0.22,0.017,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0005,Aronu2011,Aronu_2011_VLE.csv,5,,,0.15,40,,no,0.236,0.0215,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0006,Aronu2011,Aronu_2011_VLE.csv,6,,,0.15,40,,no,0.295,0.0427,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0007,Aronu2011,Aronu_2011_VLE.csv,7,,,0.15,40,,no,0.298,0.045,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0008,Aronu2011,Aronu_2011_VLE.csv,8,,,0.15,40,,no,0.342,0.0845,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0009,Aronu2011,Aronu_2011_VLE.csv,9,,,0.15,40,,no,0.398,0.222,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
vle_obs_0010,Aronu2011,Aronu_2011_VLE.csv,10,,,0.15,40,,no,0.442,0.6634,,,,,,,Aronu2011|w=0.15|T=40,,no,,validation_reserved_candidate,Non-30-wt% composition-transfer evidence reserved for grouped validation review.,
