local_path,filename,bytes,sha256,role
/mnt/data/Bates_Pinching_1951_MEAH_dissociation.pdf,Bates_Pinching_1951_MEAH_dissociation.pdf,5536151,aff8621efd41dbce106bb189fd104840a1513d9d163f4f57dfb1abbf53a30db1,primary/source file
/mnt/data/Baygi and Pahlavanzadeh - 2015 - Application of the PC-SAFT equation of state for modeling CO2 solub.md,Baygi and Pahlavanzadeh - 2015 - Application of the PC-SAFT equation of state for modeling CO2 solub.md,45833,f28ed7ca19317eb9f5e017f9a34d31cd35419117da2b012a7a750388f9a83cbe,secondary/model provenance lead
/mnt/data/Bülow et al.md,Bülow et al.md,64040,8f5a86ba09f498b90704e4f70aa320c8da0822dff75583106b2693c0b21cfe79,secondary/model provenance lead
/mnt/data/Cleeton et al.md,Cleeton et al.md,80973,6ee56a89dabf1c649de8df45d32a076c759a220b6e3f7654e70157de9211eed9,secondary/model provenance lead
/mnt/data/Najafloo and Zarei - 2018 - Modeling solubility of CO2 in aqueous monoethanolamine (MEA) solution us.md,Najafloo and Zarei - 2018 - Modeling solubility of CO2 in aqueous monoethanolamine (MEA) solution us.md,37713,f28f1111908691af507e702bc26ddecd02d297d8982d87f7d26d83802f3cf4ef,secondary/model provenance lead
/mnt/data/Nasrifar and Tafazzol - 2010 - Vapor-liquid equilibria of acid gas-aqueous ethanolamine solutions us.md,Nasrifar and Tafazzol - 2010 - Vapor-liquid equilibria of acid gas-aqueous ethanolamine solutions us.md,58909,7a8b1f03a9445615c0aa991ad0d3fd85f8085b8bee23d4f45214c1685b270976,secondary/model provenance lead
/mnt/data/Pahlavanzadeh and Fakouri Baygi - 2013 - Modeling CO2 solubility in Aqueous Methyldiethanolamine Sol.md,Pahlavanzadeh and Fakouri Baygi - 2013 - Modeling CO2 solubility in Aqueous Methyldiethanolamine Sol.md,36842,25a3c8001ae56e43f7aa41e936893ccbca4f07bd39ecf65b86b0aef46f45ca9e,secondary/model provenance lead
"/mnt/data/Pakravesh and Zarei - 2025 - Thermodynamic Modeling of Pure, Binary, and Ternary Mixtures of Alkanol.md","Pakravesh and Zarei - 2025 - Thermodynamic Modeling of Pure, Binary, and Ternary Mixtures of Alkanol.md",73729,4fd7013414a22b1601176932bef040ec120c24753292494632ce3c84e4b4c7fd,secondary/model provenance lead
/mnt/data/Schick et al. - 2023 - Predicting CO2 solubility in aqueous and organic electrolyte solutions with ePC-SAFT advanced.md,Schick et al. - 2023 - Predicting CO2 solubility in aqueous and organic electrolyte solutions with ePC-SAFT advanced.md,100536,34a1c97ef96208ac8cae8e2cbac9871097829c8817c63f3797eae14d92e7dec3,secondary/model provenance lead
/mnt/data/Uyan et al.md,Uyan et al.md,72652,3bec38e73260af8b820d460e914a748a0a58cce77659069ea89938a7692f5347,secondary/model provenance lead
/mnt/data/Wangler et al.md,Wangler et al.md,83200,f60c6ae046c71ec1d5c853d85f80382078cdf40e5d4adc609840d799ac6c1da0,secondary/model provenance lead
/mnt/data/build_mea_audit_result.json,build_mea_audit_result.json,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,primary/source file
