record_id,component_id_a,component_id_b,family,value,unit,source_id,locator,domain_id
kij-bicarbonate-anion-carbonate-anion,bicarbonate-anion,carbonate-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=HCO3-:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
kij-bicarbonate-anion-hydronium-cation,bicarbonate-anion,hydronium-cation,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=HCO3-:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-bicarbonate-anion-hydroxide-anion,bicarbonate-anion,hydroxide-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=HCO3-:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-carbamate-anion-bicarbonate-anion,bicarbonate-anion,carbamate-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEACOO-:column=HCO3-:status=explicit-diagnostic,diagnostic-domain
kij-carbamate-anion-carbonate-anion,carbamate-anion,carbonate-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEACOO-:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
kij-carbamate-anion-hydronium-cation,carbamate-anion,hydronium-cation,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEACOO-:column=H3O+:status=explicit-diagnostic,diagnostic-domain
kij-carbamate-anion-hydroxide-anion,carbamate-anion,hydroxide-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=MEACOO-:column=OH-:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-bicarbonate-anion,bicarbonate-anion,carbon-dioxide,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=HCO3-:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-carbamate-anion,carbamate-anion,carbon-dioxide,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=MEACOO-:status=explicit-diagnostic,diagnostic-domain
kij-carbon-dioxide-carbonate-anion,carbon-dioxide,carbonate-anion,k_ij,0,,mea-retained-phase-two-artifact,data/reference/epcsaft_datasets/MEA_CO2_H2O_phase2/mixed/binary_interaction/k_ij.csv:row=CO2:column=CO3^2-:status=explicit-diagnostic,diagnostic-domain
