row_id,temperature_C,CO2_loading,observed_CO2_pressure_kPa,paper,raw_pred_CO2_pressure_kPa,raw_log10_model_over_data,bubble_total_pressure_kPa,bubble_fugacity_residual_norm,chemical_charge_residual,chemical_max_reaction_residual,penalty_residual_count,diagnostic_success,model_x_CO2,model_x_MEA,model_x_H2O,model_x_MEAH+,model_x_MEACOO-,model_x_HCO3-,model_x_CO3^2-,model_x_H3O+,model_x_OH-,y_CO2,y_H2O,y_MEA,success,message
vle_0000,40.0,0.0888,0.00147,Jou,0.0005700266404049393,-0.41142218168884676,6.25,0.033231227935369034,-1.508295898388582e-11,8.229866921283246e-08,0,True,3.2108532637443104e-09,0.09238958409178642,0.8863111361465261,0.0112964375496764,0.008560147209103525,0.00011371083830552688,0.001293598564544614,3.964121341110749e-13,3.5382388807828064e-05,9.120426246479029e-05,0.9979471449625335,0.001961650775001775,True,converged
vle_0001,40.0,0.102,0.0016,Aronu,0.0008809470308471392,-0.2591701865053725,6.460657742616915,4.7669260405669434e-07,-2.6409623240467722e-11,5.853834750269016e-08,0,True,4.750935376256324e-09,0.08945950796187743,0.8862458004383277,0.012816093064415994,0.009970567675475979,0.0001410375027352259,0.0013374993076166225,4.66122587891811e-13,2.9489298149656197e-05,0.0001363556259970379,0.9979703673766247,0.0018932769973782281,True,converged
vle_0002,40.0,0.153,0.0057,Hilliard,0.0033168367138297562,-0.23515076372135887,6.450723125480574,7.799141386044539e-07,-1.7859746198763647e-10,7.786471201143286e-08,0,True,1.715788056467535e-08,0.07816563402702081,0.8860423797415177,0.01860233063625937,0.015478202664227288,0.00028275140159700823,0.001412692382169408,7.834673851586241e-13,1.599198854435459e-05,0.0005141806041446948,0.9978514836344572,0.0016343357613981806,True,converged
vle_0003,40.0,0.163,0.00664,Hilliard,0.004187691870641769,-0.20019336046891376,6.448079885188569,4.210430404327781e-08,-1.8166035741950701e-10,7.228878473597433e-08,0,True,2.1480782974237406e-08,0.07595857322591876,0.8860044492103667,0.01972651203783157,0.01656108156850491,0.0003189539710339561,0.0014160681794290664,8.566576894873221e-13,1.4340325275258788e-05,0.0006494478891710107,0.997765982450166,0.0015845696606630489,True,converged
vle_0004,40.0,0.17,0.00721,Hilliard,0.004913074971893844,-0.1665818733443535,6.4461450381220935,5.333559149889311e-09,-3.6661460283530264e-10,8.1666584605955e-08,0,True,2.5052017723902766e-08,0.07441553069235368,0.8859772194183251,0.020512095860226936,0.01731853993110919,0.00034631607536517276,0.0014169672585815326,9.104606013592592e-13,1.33057111102437e-05,0.0007621725764527837,0.9976879172762951,0.0015499101472519086,True,converged
vle_0005,40.0,0.191,0.00995,Hilliard,0.00782570570581681,-0.10429956899080207,6.440097060843023,8.630257433139832e-07,-1.8357084157373928e-10,5.327922636411131e-08,0,True,3.918842531385485e-08,0.06979725901628046,0.885889493985932,0.022863540121266134,0.019585365686493248,0.00043973999462400097,0.0014138726228486002,1.086063503504494e-12,1.0689383044163662e-05,0.0012151533791933888,0.9973380878731328,0.001446758747673826,True,converged
vle_0006,40.0,0.194,0.00985,Hilliard,0.00835209817499175,-0.07164063988173928,6.439211636538341,9.874084309635656e-07,-3.663607914878886e-10,8.002810858442899e-08,0,True,4.171551446030576e-08,0.06913899770638676,0.885875964154759,0.023198915945772034,0.01990825092850329,0.00045462746283048795,0.0014128358447693151,1.1130544810764213e-12,1.0366240351237579e-05,0.0012970684373222058,0.9972708117108873,0.0014321198517904701,True,converged
vle_0007,40.0,0.203,0.00896,Jou,0.010136043670382169,0.053560463342417465,6.436624171112037,3.806467336886499e-07,-3.6261543498153543e-10,7.0694422760198e-08,0,True,5.0229161068837224e-08,0.06716673548196707,0.8858334537420393,0.024204378542690357,0.02087504959071052,0.0005018745078602918,0.001408996911820385,1.1971720744853673e-12,9.460992553908637e-06,0.0015747453014071185,0.9970369124268684,0.0013883422717245197,True,converged
vle_0008,40.0,0.206,0.0123,Aronu,0.010806069887495356,-0.056237339458186715,6.4357817670181365,2.6283533664794856e-07,-2.730838604208342e-10,7.087221831625357e-08,0,True,5.340870965831627e-08,0.06651020380478113,0.8858185802471205,0.02453932716054588,0.021196632247608233,0.0005185319425296716,0.0014074920635539633,1.2263106073632082e-12,9.179123924644353e-06,0.0016790609561800115,0.9969471438448507,0.0013737951989691887,True,converged
vle_0009,40.0,0.232,0.0146,Hilliard,0.018662204331419293,0.10661008439940121,6.429301497277213,7.785809668092725e-07,-2.2066327251390593e-10,6.943466601683213e-08,0,True,9.014008726431609e-08,0.06084176106519959,0.8856712341027112,0.02743880922457583,0.02396558878340171,0.0006847260420947817,0.0013907039865688796,1.5048009473947445e-12,7.086653855950163e-06,0.0029026799162121535,0.9958486937607787,0.0012486263230090545,True,converged
