temperature_C,MEA_weight_fraction,CO2_loading,success,message,attempts,CO2,MEA,H2O,MEAH^+,MEACOO^-,HCO3^-,CO3^2-,H3O^+,OH^-,sum_minus_one,model_carbon_balance,physical_carbon_balance,mea_balance,water_balance,charge_balance,logK_residual_1,logK_residual_2,logK_residual_3,logK_residual_4,logK_residual_5
40.0,0.3,0.0888,True,solved (default),1,5.0245537937e-09,0.091481357588,0.87859698825,0.010162381038,0.0094946630001,0.00010222406376,0.00027219797595,3.429057649e-13,2.1098022074e-05,-0.009869085037219283,0.00020444812754592465,2.5923707624997405e-14,-8.967826481409702e-14,-2.526978626349319e-12,5.08907152529936e-13,-0.00032191700636019505,-0.00030497945337870647,-0.00031506251901447513,3.8404834867833415e-11,-0.00031407847050957116
40.0,0.3,0.10554,True,solved (warm-start),1,7.6900387234e-09,0.087626282265,0.87694227558,0.011998850443,0.011306884687,0.00012684888594,0.00027402385308,4.2201023113e-13,1.7069164994e-05,-0.011707757430525212,0.00025369777170176043,-1.7824110243314095e-13,1.1544931677320847e-13,4.568123657122669e-12,-6.719919759534676e-13,-0.0008834393813401675,0.001279404250805527,6.526065732259667e-08,-2.165405318521607e-05,-2.736858051832769e-05
40.0,0.3,0.12228,True,solved (warm-start),1,1.1244644886e-08,0.083786571698,0.87529112266,0.013828928783,0.013110897774,0.00015353906105,0.00027517589851,5.0770906569e-13,1.4140150919e-05,-0.013539612729368433,0.0003070781225522363,4.522372060167257e-13,2.921274333544943e-13,-4.936051567483446e-12,5.18710074892681e-13,-0.0004904502371800845,0.0009199932160406377,5.785450341022624e-07,-1.87236837811966e-05,-2.3785542996535014e-05
40.0,0.3,0.13902,True,solved (warm-start),1,1.5890791942e-08,0.079962827749,0.87364339785,0.015652478965,0.014906233246,0.00018256733397,0.00027588801448,6.0100528027e-13,1.1902356315e-05,-0.01536468859384199,0.00036513466793520327,-4.7982451345518484e-15,-1.479372180313021e-14,-5.88418203051333e-13,3.5600689063386426e-13,-0.00030872784726199143,0.0006999000971426028,4.4292078982266503e-07,-1.697507039910562e-05,-2.187852631863052e-05
40.0,0.3,0.15576,True,solved (warm-start),1,2.189910147e-08,0.076155516934,0.87199882368,0.017469454403,0.016692466957,0.00021426171936,0.00027629361273,7.0298072303e-13,1.0138501141e-05,-0.017183022292964645,0.00042852343920325026,4.83252327043715e-13,8.229528170033973e-15,3.3829605783353145e-12,7.419793945917519e-13,-0.00021078540719798866,0.0005674702697433531,2.774627532176055e-07,-1.5993690012372497e-05,-2.0859514592075357e-05
40.0,0.3,0.1725,True,solved (warm-start),1,2.9618142136e-08,0.072365089108,0.87035702798,0.019279838482,0.018469161483,0.00024901484444,0.00027647441953,8.1493211043e-13,8.7133163252e-06,-0.018994650747747643,0.0004980296889042293,2.423061751244404e-14,2.542965837903921e-13,4.992672941739329e-13,-1.0266093530830744e-14,-0.00015400843113866358,0.00048472955745992863,1.1863107829412911e-07,-1.556134847380264e-05,-2.050480737736393e-05
40.0,0.3,0.18924,True,solved (warm-start),1,3.9500906737e-08,0.068592028666,0.86871754072,0.021083631625,0.020235827854,0.00028730000598,0.00027648265583,9.3842587613e-13,7.5384543571e-06,-0.020799610516987754,0.0005746000116914375,-2.685594802098734e-13,-5.898614929833457e-13,2.0362600494649996e-12,-5.866834795753562e-14,-0.00011930245543112505,0.0004326669676970596,-3.3758340123313246e-08,-1.5569825980499274e-05,-2.0707410147480232e-05
40.0,0.3,0.20598,True,solved (warm-start),1,5.2142441374e-08,0.064836894555,0.86707977994,0.022880844079,0.021991892751,0.0003296924501,0.00027635252888,1.075370681e-12,6.5538206818e-06,-0.022597937731821505,0.0006593849003936648,1.936679983050027e-13,-3.2653046933006635e-13,1.9744206269933784e-12,5.335697161878983e-13,-9.736818340400077e-05,0.0004012399103281439,-1.886503042669574e-07,-1.5974737225477043e-05,-2.1432754405026344e-05
40.0,0.3,0.22271999999999997,True,solved (warm-start),1,6.8333683895e-08,0.06110035923,0.86544302743,0.024671491741,0.02373666373,0.00037689778836,0.00027610654242,1.2281145466e-12,5.7171396487e-06,-0.024389668063659165,0.0007537955765681975,-1.5180218193577844e-13,4.731354197318183e-13,2.557842826433898e-12,-6.205834457428949e-13,-8.33670281679133e-05,0.0003850039341166678,-3.578061225084639e-07,-1.677599096527871e-05,-2.2700736618475048e-05
40.0,0.3,0.23946,True,solved (warm-start),1,8.9139782984e-08,0.057383253325,0.8638063929,0.026455593543,0.025469287164,0.00042979038245,0.00027575908891,1.3995766421e-12,4.9978202093e-06,-0.02617483663524811,0.0008595807651058766,2.058735126819755e-13,1.9269308371150373e-13,-5.10480546722647e-13,-7.97244215089421e-14,-7.466896111196775e-05,0.00038112420707747674,-5.560124023418211e-07,-1.801067624995767e-05,-2.4582082602364608e-05
