temperature_C,MEA_weight_fraction,CO2_loading,success,message,attempts,CO2,MEA,H2O,MEAH^+,MEACOO^-,HCO3^-,CO3^2-,H3O^+,OH^-,sum_minus_one,model_carbon_balance,physical_carbon_balance,mea_balance,water_balance,charge_balance,logK_residual_1,logK_residual_2,logK_residual_3,logK_residual_4,logK_residual_5
40.0,0.3,0.001,True,solved (default),1,1.5512168183e-12,0.1115651407,0.88717194027,0.00059382324977,7.4607437696e-05,6.6508611705e-07,3.6961046026e-05,1.6595681153e-14,0.00044462863392,-0.00011223357490308672,1.330172234412119e-06,3.1212825293142066e-16,3.1129543387464764e-12,1.950883898871325e-12,1.5456386170953351e-15,-2.000888343900442e-11,3.239543225674879e-06,-1.8829382497642655e-11,-2.3415935856974102e-11,-3.6276759374231915e-11
40.0,0.3,0.008990000000000001,True,solved (warm-start),1,4.0827926318e-11,0.10993509897,0.88648585836,0.0013736741875,0.00082424337422,7.4508767108e-06,0.00017638152685,3.8929402787e-14,0.00018921688287,-0.001008075780982387,1.4901753418835022e-05,-2.7649323802725334e-15,-1.5797224639513274e-12,4.784062035412262e-12,3.812922200197022e-14,-0.00019091672486126754,1.6438285328490565e-06,-4.619214170276109e-06,-1.2422568751446761e-08,-9.556610791605635e-08
40.0,0.3,0.016980000000000002,True,solved (warm-start),1,1.3888969344e-10,0.10812940039,0.88571666481,0.0022353779703,0.0016678633271,1.531538637e-05,0.0002191354036,6.4351752733e-14,0.00011392844971,-0.0019023141239657981,3.0630772697213746e-05,-4.278608717322996e-14,3.819486393830118e-12,3.1191715876843773e-12,-1.5648073115048788e-14,-0.0031637044690739913,0.0005646579620091075,-8.062123519891884e-06,-2.5389921276541827e-09,-4.900409003028017e-07
40.0,0.3,0.024970000000000003,True,solved (warm-start),1,3.0426201232e-10,0.10628561792,0.88492975216,0.003114162163,0.0025326663111,2.3638980701e-05,0.00023864759027,9.1124282116e-14,8.0561690708e-05,-0.0027949528798677514,4.727796144764077e-05,4.564100833381879e-14,-3.2849001296852975e-12,1.036060126580196e-12,4.212385648627581e-14,-7.326088373815764e-05,3.242240306278177e-05,-5.858107599010509e-08,-2.537445809025485e-10,-8.730935974199383e-09
40.0,0.3,0.03296,True,solved (warm-start),1,5.4373439182e-10,0.10443112753,0.8841379826,0.0039972795305,0.0034040230872,3.2307180334e-05,0.00024966608644,1.1893596636e-13,6.1617090295e-05,-0.003685996351377785,6.461436062621699e-05,-4.178298332324637e-14,-4.8031023602845835e-14,-2.5064395003937534e-12,-9.006337342576387e-14,-6.033123391091522e-06,4.381751274706858e-06,-2.0522037402770366e-09,-6.651834638660148e-11,-6.720846101870848e-10
40.0,0.3,0.04095,True,solved (warm-start),1,8.6376864153e-10,0.10257354492,0.88334455357,0.0048815580709,0.0042774894891,4.1295008045e-05,0.00025666430119,1.4774381624e-13,4.9444971448e-05,-0.004575448805400728,8.259001613136578e-05,4.136621600814294e-14,2.1735807598233237e-12,4.8506754168897714e-12,7.47431630476747e-14,-0.0013947757146581807,0.0013025833501956186,-1.5119028027754666e-05,-6.089074617854351e-06,-5.80969845387358e-06
40.0,0.3,0.048940000000000004,True,solved (warm-start),1,1.275120828e-09,0.10071580875,0.88255059606,0.0057658674889,0.0051512566746,5.0602255186e-05,0.00026145553198,1.7756746543e-13,4.1097495306e-05,-0.005463314468729608,0.0001012045104203654,4.836495787197137e-14,3.0343921819664388e-12,3.880895604879697e-12,2.556808931242216e-14,-0.0006387145692769991,0.0007350884729113716,-4.398224398016737e-06,-4.060973276764912e-06,-4.224525451235195e-06
40.0,0.3,0.05693000000000001,True,solved (warm-start),1,1.7855053914e-09,0.098859534392,0.88175684866,0.0066494615942,0.0060244549884,6.0236983523e-05,0.00026490560652,2.0843657556e-13,3.4958409393e-05,-0.00634959758025011,0.00012047396708113767,3.5137691367648216e-14,-7.896461262646426e-15,1.7797985307765884e-12,5.243548650835095e-14,-0.0003430963354986716,0.00044863036154652036,-1.459507537049376e-06,-3.009067222059514e-06,-3.3120551385934505e-06
40.0,0.3,0.06492,True,solved (warm-start),1,2.4050057894e-09,0.09700549337,0.88096359594,0.0075320432493,0.006896609563,7.0212221826e-05,0.00026748058031,2.4039855904e-13,3.0260304132e-05,-0.00723430236618583,0.00014042444363918105,-1.2819606487468604e-14,-3.9969416665286417e-13,1.4623857680362562e-12,-3.7600131341797294e-14,-0.00020191677133141184,0.00029718767798314616,-5.014965829275297e-07,-2.383351614732021e-06,-2.7252644159148076e-06
40.0,0.3,0.07291,True,solved (warm-start),1,3.1448104528e-09,0.095154144657,0.88017099768,0.0084134372122,0.0077674361967,8.0543900704e-05,0.00026945292491,2.7350822991e-13,2.6551265249e-05,-0.008117433018153153,0.00016108780145378775,4.5788026148407823e-14,-1.992850329202156e-13,-4.0073500073845025e-12,5.082739784612045e-16,-0.00012757067695190472,0.0002095728332314195,-1.5546189047199732e-07,-1.976082431021098e-06,-2.3223679086470383e-06
40.0,0.3,0.0809,True,solved (warm-start),1,4.0173241785e-09,0.093305779145,0.87937914369,0.0092935359457,0.008636751064,9.1250186654e-05,0.00027099248397,3.0782672558e-13,2.354972745e-05,-0.008998993739593897,0.00018250037329250492,-1.5496284810900818e-14,2.1574408926028354e-13,4.769629136092135e-12,-3.617418864454436e-14,-8.526412300824404e-05,0.00015525116286241314,-2.3585307928897237e-08,-1.6942750189485878e-06,-2.0328225964760804e-06
40.0,0.3,0.08889000000000001,True,solved (warm-start),1,5.0363282052e-09,0.091460592411,0.87858808304,0.010172270716,0.0095044268532,0.00010235122883,0.00027221058797,3.4342113826e-13,2.1071458676e-05,-0.009878988667652355,0.00020470245766653766,6.536438057480609e-15,-5.892508703198018e-14,-2.2952750811100486e-12,-3.025791422972546e-13,-5.9654728730151874e-05,0.00011970039833286705,2.6415431619852825e-08,-1.4907653680396038e-06,-1.8179144092300703e-06
40.0,0.3,0.09688000000000001,True,solved (warm-start),1,6.2171597716e-09,0.089618723248,0.87779783944,0.011049596168,0.010370369658,0.00011386910013,0.0002731832223,3.8036456195e-13,1.899096593e-05,-0.010757421980099657,0.0002277382001243007,-1.357004786317617e-13,-3.617939281497229e-13,1.674216321134736e-13,-2.796374243274613e-13,-4.335350584483422e-05,9.540606300006971e-05,4.318751933851672e-08,-1.3391783255656264e-06,-1.6548260148852023e-06
40.0,0.3,0.10487,True,solved (warm-start),1,7.5769163509e-09,0.087780275351,0.87700841995,0.011925481658,0.011234505961,0.00012582784229,0.00027396399747,4.1873637963e-13,1.7219860018e-05,-0.011634297802886828,0.00025165568449697986,-8.302039611329803e-14,-6.72933930800923e-13,2.882694083439219e-12,1.707349539525893e-13,-3.2536843590946773e-05,7.82100596836699e-05,4.608740056255556e-08,-1.2238643289919082e-06,-1.529145588818892e-06
40.0,0.3,0.11286000000000002,True,solved (warm-start),1,9.1346897074e-09,0.085945330173,0.87621981993,0.012799906154,0.012096774876,0.0001382535754,0.00027459179858,4.5862271101e-13,1.5694106682e-05,-0.012509620251189624,0.0002765071504758996,-3.2410012174022285e-13,-2.2129520438340933e-13,1.7550405573274475e-12,-7.833768356224624e-13,-2.510467496108504e-05,6.568232962678167e-05,4.330949820996466e-08,-1.1349341324518036e-06,-1.4313377434405083e-06
40.0,0.3,0.12085000000000001,True,solved (warm-start),1,1.0911835296e-08,0.08411395492,0.87543202601,0.013672855113,0.012957123279,0.0001511746538,0.00027509549635,5.0011698604e-13,1.4366188227e-05,-0.01338339342728756,0.00030234930727418216,-3.2581923270491586e-13,-7.920886169188179e-13,-7.4451556031363e-13,-2.2688274869953062e-13,-1.98448431945053e-05,5.63364977104186e-05,3.825598327011903e-08,-1.0657650451051381e-06,-1.3552382540638064e-06
40.0,0.3,0.12884,True,solved (warm-start),1,1.2932283362e-08,0.082286207744,0.87464501789,0.014544318485,0.013815502605,0.00016462186071,0.00027549695692,5.4332063164e-13,1.3200105773e-05,-0.014255621419770326,0.00032924372141040006,-9.59995971605565e-15,-5.339895192690847e-13,-2.3161472739730016e-12,2.2032202451338634e-13,-1.6026992312845323e-05,4.9227781648397695e-05,3.252898750361055e-08,-1.0119145716913636e-06,-1.2962463422638848e-06
40.0,0.3,0.13683,True,solved (warm-start),1,1.5222899254e-08,0.080462141263,0.87385876941,0.015414289414,0.014671866633,0.00017862863925,0.00027581302588,5.8834387094e-13,1.2168091e-05,-0.015126308300382418,0.0003572572784026583,-9.734227313096255e-14,3.3681391009565687e-14,2.3161472739730016e-12,-4.216575005822065e-13,-1.3194787001680197e-05,4.373555196224288e-05,2.679953325923634e-08,-9.703914409797676e-07,-1.2511818603400116e-06
40.0,0.3,0.14482,True,solved (warm-start),1,1.7813901929e-08,0.078641805053,0.87307324918,0.016282763359,0.015526169871,0.0001932313606,0.00027605687224,6.3530664198e-13,1.1248382657e-05,-0.015995458106965788,0.0003864627216041087,4.0410730317574917e-13,1.3641865415081611e-14,2.7081670239681443e-12,8.983057353528778e-13,-1.1054085369721633e-05,3.944046854087446e-05,2.1310295750254227e-08,-9.388902224571893e-07,-1.2179203210394007e-06
40.0,0.3,0.15281,True,solved (warm-start),1,2.0739351444e-08,0.076825247498,0.87228842085,0.017149737479,0.01637836632,0.00020846963199,0.00027623892049,6.8433964803e-13,1.0423686509e-05,-0.016863074873975203,0.0004169392637091984,-2.708042123877874e-13,-8.76451689002522e-13,2.6423307986078726e-12,2.053357484044227e-13,-9.409686995809352e-06,3.605229117908948e-05,1.6142763570314855e-08,-9.159132385860858e-07,-1.1946441169641275e-06
40.0,0.3,0.1608,True,solved (warm-start),1,2.4037718486e-08,0.07501251723,0.87150424321,0.01801521021,0.017228408455,0.00022438664894,0.00027636751063,7.3558555619e-13,9.680085736e-06,-0.017729162611240024,0.00044877329745750955,-4.224884331271994e-13,-3.1098734698531416e-13,-2.596589609993316e-12,-2.0041260317960052e-13,-8.128979985144724e-06,3.336588050117939e-05,1.1265512966929236e-08,-9.002640393163119e-07,-1.1802502690727579e-06
40.0,0.3,0.16879000000000002,True,solved (warm-start),1,2.7752551784e-08,0.073203664323,0.87072067007,0.018879180952,0.018076246351,0.00024102959756,0.00027644937416,7.8920036554e-13,9.0062553048e-06,-0.018593725323634236,0.00048205919533936964,2.1936619187812312e-13,-3.637229406550091e-13,1.0584866316776242e-12,6.043984757120313e-13,-7.119966397794997e-06,3.123372529501012e-05,6.600636481834954e-09,-8.910044790866323e-07,-1.1738888616719123e-06
40.0,0.3,0.17678000000000002,True,solved (warm-start),1,3.193326268e-08,0.071398741324,0.86993765007,0.019741649839,0.018921826875,0.00025845011403,0.00027648998284,8.4535497058e-13,8.3928858267e-06,-0.019456766975195272,0.000516900227593993,-4.660091756925056e-13,-5.145744941259522e-13,4.305777956403745e-12,-6.913428163279889e-13,-6.317467736494109e-06,2.9548201851525846e-05,2.1029080699008773e-09,-8.87753511591427e-07,-1.1749661013027435e-06
40.0,0.3,0.18477000000000002,True,solved (warm-start),1,3.6636050489e-08,0.069597804214,0.8691551263,0.020602617573,0.019765092893,0.00027670481025,0.00027649380788,9.0423695135e-13,7.8322545264e-06,-0.020318291510388886,0.0005534096208065151,3.06511760417294e-13,3.4314218133602026e-13,-1.3907763829479336e-12,3.678377047400261e-13,-5.674652967968541e-06,2.8229924346589996e-05,-2.2753283701604232e-09,-8.899818357832601e-07,-1.1832575594894479e-06
40.0,0.3,0.19276000000000001,True,solved (warm-start),1,4.1924997626e-08,0.067800913336,0.8683730358,0.021462085288,0.020605982482,0.00029585587618,0.00027646451476,9.6605262789e-13,7.3179013112e-06,-0.021178302875785038,0.0005917117523948842,3.488181965494164e-14,-1.0404177519518498e-13,2.914335439641036e-12,-4.514791318577238e-14,-5.157243222697616e-06,2.7220090700552646e-05,-6.683890774183965e-09,-8.97573634084381e-07,-1.198491965226367e-06
40.0,0.3,0.20075,True,solved (warm-start),1,4.7873370289e-08,0.066008134334,0.86759130903,0.022320054454,0.02144442808,0.00031597177177,0.00027640511135,1.0310294241e-12,6.8443810915e-06,-0.022036804963387113,0.0006319435431809128,-3.5908775952719907e-13,-5.967587535238295e-13,1.22291066162461e-12,-5.304749695067557e-13,-4.740023868521348e-06,2.6474935232556618e-05,-1.1214815742732753e-08,-9.103812708133319e-07,-1.2207846964429336e-06
40.0,0.3,0.20874,True,solved (warm-start),1,5.4565169023e-08,0.064219539147,0.86680986909,0.023176526795,0.022280355578,0.00033712802378,0.00027631806109,1.0994185958e-12,6.4070722126e-06,-0.022893801666649005,0.0006742560475411323,-1.8870321971675708e-14,-3.0971059050699523e-13,4.107603146508154e-12,-7.318451400450954e-14,-4.40401279888647e-06,2.5962244158961312e-05,-1.584209741167797e-08,-9.284405848575261e-07,-1.2502402242375865e-06
40.0,0.3,0.21673,True,solved (warm-start),1,6.2096984355e-08,0.062435207082,0.86602863091,0.024031504224,0.023113683313,0.00035940814617,0.00027620537011,1.171498388e-12,6.0020267142e-06,-0.023749296829849942,0.0007188162918821649,-4.578316892267509e-13,1.4142853554943713e-13,8.862910405582625e-13,-9.32701832434546e-13,-4.135166435048632e-06,2.5658625446567385e-05,-2.0787989996051692e-08,-9.519853012562862e-07,-1.2872357295634629e-06
40.0,0.3,0.22472000000000003,True,solved (warm-start),1,7.0580226544e-08,0.060655226004,0.86524750019,0.024884988793,0.023944320927,0.00038290470629,0.00027606865434,1.2475777017e-12,5.6258521456e-06,-0.024603294291750344,0.0007658094125518322,-2.816497035595944e-14,-3.066297216136604e-13,4.455102953215828e-12,1.3198123149926744e-13,-3.922764584274319e-06,2.5547871310038772e-05,-2.6068207148455258e-08,-9.811777266222066e-07,-1.3322973835272478e-06
40.0,0.3,0.23271000000000003,True,solved (warm-start),1,8.0143816209e-08,0.058879693671,0.86446637225,0.025736982642,0.02477216808,0.00040772056403,0.0002759091909,1.3280003661e-12,5.2756174467e-06,-0.025455797839479155,0.0008154411279688439,-9.115624921562926e-14,-1.718208908485508e-13,4.812039655632816e-12,5.129924263158614e-14,-3.7587729124766156e-06,2.561974302039971e-05,-3.1837629421715974e-08,-1.0164651538246972e-06,-1.3860060938952756e-06
40.0,0.3,0.24070000000000003,True,solved (warm-start),1,9.093744552e-08,0.057108719265,0.86368513059,0.026587487965,0.025597112958,0.00043397031674,0.00027572795719,1.4131501339e-12,4.9487773737e-06,-0.026306811231837757,0.0008679406332518028,-2.28199403817797e-13,-4.332367797843517e-13,5.692113447253178e-13,-8.055361933045901e-14,-3.6373793719235437e-06,2.5868853814614567e-05,-3.826143313290231e-08,-1.0583672924724397e-06,-1.4493183577712898e-06
40.0,0.3,0.24869000000000002,True,solved (warm-start),1,1.0313554924e-07,0.055342425149,0.86290364523,0.027436506971,0.026419030551,0.00046178199014,0.00027552565981,1.5034565446e-12,4.6431113506e-06,-0.02715633820064678,0.0009235639802979458,1.7947449082456046e-14,-5.380418333089665e-13,2.1671553440683056e-13,3.928558867105636e-13,-3.554162184116194e-06,2.6294645003588357e-05,-4.5406245874346496e-08,-1.107502734853938e-06,-1.5232195238468194e-06
40.0,0.3,0.25668,True,solved (warm-start),1,1.1694216362e-07,0.053580948913,0.86212177078,0.028284041849,0.027237780643,0.00049129902415,0.00027530275505,1.5994018315e-12,4.35667364e-06,-0.028004382418396978,0.0009825980483237386,2.3741425492218582e-14,5.919986723057491e-13,-4.418687638008123e-12,-2.905939378017308e-13,-3.506357671767546e-06,2.6900645085703445e-05,-5.355191490252764e-08,-1.1647276636495008e-06,-1.6090877181795804e-06
40.0,0.3,0.26467,True,solved (warm-start),1,1.3259690185e-07,0.05182444577,0.86133934409,0.029130094739,0.02805320545,0.00052268261403,0.00027505946207,1.7015290929e-12,4.0877524745e-06,-0.028850947523822223,0.0010453652279085943,-1.5140666498325572e-13,-4.4615700023342697e-13,-1.680433570072637e-12,5.702729954926156e-14,-3.4920943505767355e-06,2.76948065440763e-05,-6.28821226200671e-08,-1.2310013737248937e-06,-1.7085449854903345e-06
40.0,0.3,0.27266,True,solved (warm-start),1,1.5038234175e-07,0.050073091371,0.86055618155,0.02997466769,0.028865126835,0.00055611448121,0.00027479576952,1.8104519975e-12,3.8348363318e-06,-0.02969603708278601,0.0011122289628760808,4.560830879629663e-13,4.565098299380566e-13,-3.856692742942869e-12,2.2865390136850294e-13,-3.51078341509492e-06,2.8689484832256085e-05,-7.36341938534224e-08,-1.3075385689731434e-06,-1.8235170315961113e-06
40.0,0.3,0.28065,True,solved (warm-start),1,1.7063321043e-07,0.048327085147,0.85977207578,0.030817762631,0.029673343009,0.00059180016601,0.00027451143595,1.9268663632e-12,3.5965859552e-06,-0.030539654609947453,0.0011836003324777952,4.577935253102794e-13,9.145462165349727e-13,-2.3848700791972988e-12,6.166595012402354e-14,-3.5626155181489594e-06,2.9901843003443673e-05,-8.609949730953304e-08,-1.3958380442602447e-06,-1.9564190694154604e-06
40.0,0.3,0.28864,True,solved (warm-start),1,1.9374786965e-07,0.046586654285,0.85898679176,0.031659381326,0.030477624592,0.00062997295692,0.00027420598414,2.0515640323e-12,3.3718110212e-06,-0.03138180353499764,0.0012599459139162397,7.623762732222872e-14,4.145295218194178e-14,1.819766559663094e-12,-1.6963513926882e-13,-3.649041985909207e-06,3.1354259256488604e-05,-1.0090270663454248e-07,-1.4976406923494778e-06,-2.1102737122191684e-06
40.0,0.3,0.29663,True,solved (warm-start),1,2.2020276613e-07,0.044852058482,0.85820006215,0.032499525329,0.031277709902,0.00067089859977,0.00027387868928,2.1854495777e-12,3.1594505998e-06,-0.03222248719239851,0.0013417971999425404,4.0253911315346613e-13,4.4324266479378593e-13,5.028200078527334e-13,2.556427292077501e-13,-3.7723083323726314e-06,3.3075611003852146e-05,-1.1831259882910672e-07,-1.61510644147711e-06,-2.2885456765209256e-06
40.0,0.3,0.30462,True,solved (warm-start),1,2.5057072883e-07,0.043123595671,0.85741158163,0.033338195931,0.03207329929,0.00071488096659,0.00027352856022,2.3295605114e-12,2.9585567282e-06,-0.03306170882140347,0.0014297619332267753,4.6782022700142534e-14,2.11969330976558e-13,4.334754777346461e-12,-4.2864323201996513e-13,-3.935957259670886e-06,3.510190639843813e-05,-1.3917150809561463e-07,-1.7508369296592718e-06,-2.4956475748183493e-06
